Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2150,473,470,678,266,450,474,466,557,524,528,557,603
  └─ YOY Sales Growth %,9.81%,-72.61%,-78.32%,-68.71%,-87.63%,-4.98%,0.74%,-31.30%,109.67%,16.56%,11.43%,19.54%,8.15%
Expenses,1813,431,427,622,256,418,449,435,513,470,485,497,529
  └─ Material Cost %,48.90%,49.95%,49.96%,57.48%,35.43%,33.90%,33.77%,35.46%,39.08%,35.60%,33.11%,34.60%,32.57%
  └─ Employee Cost %,12.29%,14.60%,14.19%,9.20%,19.95%,20.18%,20.80%,21.10%,16.94%,19.08%,19.43%,19.22%,17.89%
Operating Profit,337,42,44,57,10,32,25,31,44,54,43,60,74
OPM %,16%,9%,9%,8%,4%,7%,5%,7%,8%,10%,8%,11%,12%
Other Income,-38,1065,153,192,249,7394,96,95,156,5339,-131,9,-10
  └─ Exceptional items,-93.03,1021.50,110.32,144.04,206.37,7344.26,58.06,68.29,112.05,5307.53,-167.40,-13.99,-20.03
  └─ Other income normal,55.51,43.36,42.27,48.45,42.68,49.71,38.24,26.52,43.94,31.03,36.02,23.05,9.60
Interest,64,8,9,22,5,16,16,16,17,19,22,21,23
Depreciation,62,16,17,18,21,35,37,37,37,39,38,38,37
Profit before tax,173,1083,170,210,234,7375,68,73,146,5336,-148,10,4
Tax %,-13%,2%,5%,12%,2%,0%,13%,1%,6%,0%,-109%,30%,-185%
Net Profit,196,1067,161,185,230,7367,59,72,137,5328,14,7,12
  └─ Minority share,-2,-1,-1,-2,-1,-0,1,-0,-5,-3,-3,-4,-11
  └─ Exceptional items AT,-89,1021,102,144,204,7344,58,68,112,5308,-154,-7,-16
  └─ Profit excl Excep,286,45,59,41,26,23,1,4,25,21,168,14,28
  └─ Profit for PE,283,45,58,41,26,23,2,4,25,21,137,7,3
  └─ Profit for EPS,194,1065,160,184,229,7366,60,72,133,5325,11,4,1
  └─ YOY Profit Growth %,-24%,-44%,-65%,-57%,-91%,-50%,-97%,-90%,-6%,-9%,6800%,81%,-89%
EPS in Rs,29.18,159.95,23.99,27.55,34.42,1106.08,9.02,10.83,19.93,799.58,1.71,0.54,0.17
Raw PDF,,,,,,,,,,,,,
