Metric,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Sales,2.63,5.63,1.88,5.66,3.99,2.67,2.75
  └─ YOY Sales Growth %,,,,,51.71%,-52.58%,46.28%
Expenses,1.87,4.86,1.50,4.58,3.18,2.26,2.14
  └─ Material Cost %,20.91%,62.70%,9.04%,44.70%,46.12%,37.83%,31.27%
  └─ Employee Cost %,26.24%,11.72%,36.70%,18.20%,18.05%,25.09%,22.55%
Operating Profit,0.76,0.77,0.38,1.08,0.81,0.41,0.61
OPM %,28.90%,13.68%,20.21%,19.08%,20.30%,15.36%,22.18%
Other Income,0.00,0.09,0.00,0.00,0.00,0.10,0.00
  └─ Other income normal,0.00,0.09,0.00,0.00,0.00,0.10,0.00
Interest,0.01,0.01,0.01,0.03,0.01,0.00,0.01
Depreciation,0.28,0.25,0.25,0.25,0.31,0.31,0.27
Profit before tax,0.47,0.60,0.12,0.80,0.49,0.20,0.33
Tax %,44.68%,8.33%,25.00%,62.50%,22.45%,25.00%,33.33%
Net Profit,0.26,0.55,0.09,0.30,0.37,0.15,0.22
  └─ Profit excl Excep,0,1,0,0,0,0,0
  └─ Profit for PE,0,1,0,0,0,0,0
  └─ Profit for EPS,0,1,0,0,0,0,0
  └─ YOY Profit Growth %,,,,,42%,-73%,144%
EPS in Rs,0.57,1.21,0.20,0.66,0.81,0.33,0.48
Raw PDF,,,,,,,
