Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,68.53,76.22,72.51,81.36,59.24,85.07,66.69,50.74,77.23,104.22
  └─ YOY Sales Growth %,,,,,-13.56%,11.61%,-8.03%,-37.64%,30.37%,22.51%
Expenses,60.28,69.34,64.96,75.04,50.36,77.68,56.71,39.48,67.80,95.27
  └─ Material Cost %,75%,78%,79%,83%,71%,80%,72%,59%,73%,81%
  └─ Employee Cost %,4%,3%,3%,3%,4%,3%,3%,5%,3%,3%
Operating Profit,8.25,6.88,7.55,6.32,8.88,7.39,9.98,11.26,9.43,8.95
OPM %,12.04%,9.03%,10.41%,7.77%,14.99%,8.69%,14.96%,22.19%,12.21%,8.59%
Other Income,0.02,0.91,0.40,0.44,0.17,1.72,0.01,0.05,2.04,0.69
  └─ Other income normal,0.02,0.91,0.40,0.44,0.17,1.72,0.01,0.05,2.04,0.69
Interest,2.44,2.81,2.68,2.28,2.33,3.11,2.19,2.67,2.84,3.01
Depreciation,2.50,2.51,2.16,2.17,2.04,2.42,2.03,3.97,4.02,3.91
Profit before tax,3.33,2.47,3.11,2.31,4.68,3.58,5.77,4.67,4.61,2.72
Tax %,15.02%,23.08%,26.69%,23.81%,13.03%,41.06%,27.38%,22.48%,28.85%,27.57%
Net Profit,2.83,1.89,2.27,1.76,4.07,2.11,4.18,3.62,3.27,1.96
  └─ Profit excl Excep,2.83,1.89,2.27,1.76,4.07,2.11,4.18,3.62,3.27,1.96
  └─ Profit for PE,2.83,1.89,2.27,1.76,4.07,2.11,4.18,3.62,3.27,1.96
  └─ Profit for EPS,2.83,1.89,2.27,1.76,4.07,2.11,4.18,3.62,3.27,1.96
  └─ YOY Profit Growth %,,,,,43.82%,11.64%,84.14%,105.68%,-19.66%,-7.11%
EPS in Rs,2.75,1.84,2.21,1.71,3.95,1.29,1.90,1.65,1.49,0.89
Raw PDF,,,,,,,,,,
