Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,17.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.44,17.00,0.00,0.00
  └─ YOY Sales Growth %,,,,,-100.00%,,,,,,,,
Expenses,15.19,0.70,0.42,0.65,0.45,0.63,0.47,0.53,0.63,21.28,14.57,0.66,0.53
  └─ Material Cost %,82.59%,,,,,,,,,84.29%,82.35%,,
  └─ Employee Cost %,1.68%,,,,,,,,,1.43%,1.82%,,
Operating Profit,2.67,-0.70,-0.42,-0.65,-0.45,-0.63,-0.47,-0.53,-0.63,3.16,2.43,-0.66,-0.53
OPM %,14.95%,,,,,,,,,12.93%,14.29%,,
Other Income,0.68,0.40,0.14,0.30,0.14,0.16,0.17,0.72,0.39,0.34,0.46,0.60,0.37
  └─ Other income normal,0.68,0.40,0.14,0.30,0.14,0.16,0.17,0.72,0.39,0.34,0.46,0.60,0.37
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Profit before tax,3.32,-0.33,-0.31,-0.38,-0.34,-0.50,-0.33,0.16,-0.27,3.47,2.86,-0.09,-0.19
Tax %,17.17%,-75.76%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,19.88%,25.52%,-144.44%,-63.16%
Net Profit,2.74,-0.07,-0.31,-0.38,-0.34,-0.50,-0.33,0.16,-0.27,2.78,2.13,0.03,-0.07
  └─ Profit excl Excep,3,-0,-0,-0,-0,-0,-0,0,-0,3,2,0,-0
  └─ Profit for PE,3,-0,-0,-0,-0,-0,-0,0,-0,3,2,0,-0
  └─ Profit for EPS,3,-0,-0,-0,-0,-0,-0,0,-0,3,2,0,-0
  └─ YOY Profit Growth %,2840%,87%,-338%,-1800%,-112%,-614%,-6%,142%,21%,656%,745%,-81%,74%
EPS in Rs,277.89,-7.10,-31.44,-38.54,-34.48,-50.71,-33.47,16.23,-27.38,281.95,216.02,3.04,-7.10
Raw PDF,,,,,,,,,,,,,
