Metric,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,34.22,39.15,11.21,2.75,23.92,31.50,22.81,30.11,39.80,40.08,35.84,32.23
  └─ YOY Sales Growth %,,,-67.24%,,,-19.54%,103.48%,994.91%,66.39%,27.24%,57.12%,7.04%
Expenses,31.20,31.86,25.30,6.95,25.73,28.34,18.66,26.38,31.87,36.28,33.05,30.52
  └─ Material Cost %,65%,57%,156%,142%,83%,68%,64%,64%,62%,64%,67%,74%
  └─ Employee Cost %,3%,3%,9%,22%,3%,3%,4%,3%,3%,2%,2%,4%
Operating Profit,3.02,7.29,-14.09,-4.20,-1.81,3.16,4.15,3.73,7.93,3.80,2.79,1.71
OPM %,8.83%,18.62%,-125.69%,-152.73%,-7.57%,10.03%,18.19%,12.39%,19.92%,9.48%,7.78%,5.31%
Other Income,0.04,0.10,0.29,0.06,3.31,1.77,0.03,0.31,0.17,0.04,0.36,-0.20
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,-0.23
  └─ Other income normal,0.04,0.10,0.29,0.06,3.31,1.77,0.03,0.31,0.17,0.04,0.12,0.03
Interest,0.58,0.75,0.73,1.19,0.97,0.85,0.93,1.08,1.14,0.90,1.10,0.81
Depreciation,0.41,0.41,0.41,0.50,0.49,0.49,0.49,0.48,0.49,0.50,0.50,0.47
Profit before tax,2.07,6.23,-14.94,-5.83,0.04,3.59,2.76,2.48,6.47,2.44,1.55,0.23
Tax %,28.02%,29.53%,-2.81%,-26.76%,625.00%,87.74%,10.87%,5.65%,32.46%,14.75%,40.65%,221.74%
Net Profit,1.49,4.39,-14.53,-4.27,-0.20,0.43,2.47,2.34,4.37,2.08,0.92,-0.29
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,4,-15,-4,-0,0,2,2,4,2,1,-1
  └─ Profit for PE,1,4,-15,-4,-0,0,2,2,4,2,1,-1
  └─ Profit for EPS,1,4,-15,-4,-0,0,2,2,4,2,1,-0
  └─ YOY Profit Growth %,,,-1075%,,,-90%,117%,155%,2285%,384%,-68%,-124%
EPS in Rs,0.73,2.17,-7.17,-2.11,-0.10,0.21,1.22,1.15,2.16,1.03,0.45,-0.14
Raw PDF,,,,,,,,,,,,
