Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,126,124,115,258,534,698,507,489,686,779
  └─ YOY Sales Growth %,,,,,322.66%,461.90%,341.68%,89.74%,28.37%,11.58%
Expenses,52,48,47,171,296,346,300,300,374,394
  └─ Material Cost %,7.19%,6.85%,6.17%,7.53%,9.17%,6.19%,8.45%,8.91%,8.73%,8.03%
  └─ Employee Cost %,6.69%,8.36%,8.35%,17.29%,14.95%,11.98%,16.93%,18.29%,13.68%,12.43%
Operating Profit,74,76,68,87,238,352,208,190,311,385
OPM %,59%,61%,59%,34%,45%,50%,41%,39%,45%,49%
Other Income,7,4,6,10,26,19,12,65,34,86
  └─ Exceptional items,0,0,0,0,-6,0,0,0,-3,-5
  └─ Other income normal,7,4,6,10,32,19,12,65,37,91
Interest,11,12,12,71,99,75,60,56,60,53
Depreciation,12,12,11,50,92,103,80,79,84,84
Profit before tax,57,56,51,-24,73,193,80,120,200,334
Tax %,25%,15%,48%,96%,53%,22%,53%,46%,30%,22%
Net Profit,43,47,26,-47,35,151,38,64,140,259
  └─ Minority share,0,0,0,-9,-12,-23,-11,-12,-24,-30
  └─ Exceptional items AT,0,0,0,0,-3,0,0,0,-2,-4
  └─ Profit excl Excep,43,47,26,-47,38,151,38,64,143,263
  └─ Profit for PE,43,47,26,-56,24,128,27,53,118,233
  └─ Profit for EPS,43,47,26,-56,22,128,27,53,117,230
  └─ YOY Profit Growth %,,,,,-44%,171%,2%,193%,391%,82%
EPS in Rs,41.41,45.22,25.30,-2.70,0.95,5.48,1.15,2.25,4.99,9.83
Raw PDF,,,,,,,,,,
