Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,14.11,17.51,13.30,11.63,13.81,13.18,7.77,5.20,8.52,7.58,7.17,6.73,35.21
  └─ YOY Sales Growth %,29%,49%,-22%,-26%,-2%,-25%,-42%,-55%,-38%,-42%,38%,-21%,365%
Expenses,12.48,16.93,12.79,13.02,14.38,10.36,11.86,5.33,9.09,6.33,6.08,11.36,31.43
  └─ Employee Cost %,26.29%,21.07%,27.59%,25.80%,25.42%,20.86%,40.80%,55.00%,30.05%,31.13%,30.54%,36.70%,6.90%
Operating Profit,1.63,0.58,0.51,-1.39,-0.57,2.82,-4.09,-0.13,-0.57,1.25,1.09,-4.63,3.78
OPM %,11.55%,3.31%,3.83%,-11.95%,-4.13%,21.40%,-52.64%,-2.50%,-6.69%,16.49%,15.20%,-68.80%,10.74%
Other Income,2.18,3.39,4.91,3.21,2.95,3.42,2.19,3.45,5.22,7.45,3.87,1.84,2.67
  └─ Other income normal,2.18,3.39,4.91,3.21,2.95,3.42,2.19,3.45,5.22,7.45,3.87,1.84,2.67
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.04,0.05,0.04,0.05,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.05
Profit before tax,3.77,3.92,5.38,1.77,2.30,6.16,-1.97,3.26,4.59,8.65,4.92,-2.83,6.40
Tax %,39.52%,7.14%,42.38%,1.13%,3.04%,19.48%,88.83%,54.60%,19.17%,-46.47%,29.88%,3.18%,38.28%
Net Profit,5.53,3.63,3.08,1.75,2.28,4.94,-3.72,1.59,3.70,12.68,3.53,-2.93,3.96
  └─ Profit from Associates,3,-0,-0,-0,0,-0,0,0,-0,0,0,0,0
  └─ Minority share,-1,-1,-1,0,-1,-0,0,-1,-0,-0,-1,1,-2
  └─ Profit excl Excep,6,4,3,2,2,5,-4,2,4,13,4,-3,4
  └─ Profit for PE,4,2,2,2,1,5,-3,1,3,12,3,-2,2
  └─ Profit for EPS,4,2,2,2,1,5,-3,1,3,12,3,-2,2
  └─ YOY Profit Growth %,248%,-61%,121%,-48%,-70%,98%,-301%,-53%,143%,153%,155%,-159%,-82%
EPS in Rs,0.14,0.08,0.05,0.07,0.04,0.15,-0.11,0.03,0.10,0.39,0.09,-0.06,0.07
Raw PDF,,,,,,,,,,,,,
