Metric,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019
Sales,2.08,18.24,2.40,2.74,14.86,12.21,5.60,16.70,15.24,24.15,7.08,25.88,22.22
  └─ YOY Sales Growth %,90.83%,421.14%,,53.07%,614.42%,-33.06%,133.33%,509.49%,2.56%,97.79%,26.43%,54.97%,45.80%
Expenses,0.23,25.12,0.66,0.82,15.78,12.03,4.35,15.28,15.09,24.11,5.75,23.28,20.80
  └─ Material Cost %,0%,132%,17%,22%,102%,92%,64%,90%,97%,94%,75%,87%,92%
  └─ Employee Cost %,5%,1%,2%,3%,1%,2%,2%,1%,1%,1%,1%,1%,1%
Operating Profit,1.85,-6.88,1.74,1.92,-0.92,0.18,1.25,1.42,0.15,0.04,1.33,2.60,1.42
OPM %,88.94%,-37.72%,72.50%,70.07%,-6.19%,1.47%,22.32%,8.50%,0.98%,0.17%,18.79%,10.05%,6.39%
Other Income,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
  └─ Other income normal,0.00,3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Interest,0.02,0.10,0.07,0.07,0.05,0.33,0.05,0.04,0.06,0.30,0.17,0.32,0.15
Depreciation,0.10,0.08,0.05,0.05,0.05,0.05,0.03,0.06,0.06,0.04,0.13,0.25,0.13
Profit before tax,1.73,-3.82,1.62,1.80,-1.02,-0.20,1.17,1.32,0.03,-0.29,1.03,2.03,1.14
Tax %,24.86%,-8.38%,30.25%,35.00%,0.00%,235.00%,35.04%,28.03%,33.33%,-31.03%,28.16%,28.08%,28.07%
Net Profit,1.31,-3.50,1.14,1.17,-1.02,-0.67,0.76,0.95,0.03,-0.20,0.75,1.46,0.82
  └─ Profit excl Excep,1,-4,1,1,-1,-1,1,1,0,-0,1,1,1
  └─ Profit for PE,1,-4,1,1,-1,-1,1,1,0,-0,1,1,1
  └─ Profit for EPS,1,-4,1,1,-1,-1,1,1,0,-0,1,1,1
  └─ YOY Profit Growth %,285%,-614%,75%,14%,-178%,81%,-33%,-19%,103%,70%,-1%,54%,2633%
EPS in Rs,0.02,-0.06,0.02,0.02,-0.02,-0.01,0.01,0.01,0.00,-0.00,0.01,0.02,0.01
Raw PDF,,,,,,,,,,,,,
