Metric,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales,33.03,47.03,8.34,21.74,24.26,49.84,7.05,7.44,22.37,2.48,1.76,0.33,2.32
  └─ YOY Sales Growth %,6%,-25%,-70%,-43%,-27%,6%,-15%,-66%,-8%,-95%,-75%,-96%,-90%
Expenses,29.27,44.02,6.95,19.01,27.10,47.03,6.64,8.98,24.47,27.52,2.30,0.40,2.47
  └─ Employee Cost %,2.82%,3.27%,9.47%,2.71%,1.85%,0.80%,5.53%,3.90%,1.70%,10.08%,11.36%,36.36%,21.55%
Operating Profit,3.76,3.01,1.39,2.73,-2.84,2.81,0.41,-1.54,-2.10,-25.04,-0.54,-0.07,-0.15
OPM %,11.38%,6.40%,16.67%,12.56%,-11.71%,5.64%,5.82%,-20.70%,-9.39%,-1009.68%,-30.68%,-21.21%,-6.47%
Other Income,0.11,8.70,0.97,0.05,0.06,1.02,1.15,1.16,1.39,-0.25,-0.01,0.59,0.00
  └─ Other income normal,0.11,8.70,0.97,0.05,0.06,1.02,1.15,1.16,1.39,-0.25,-0.01,0.59,0.00
Interest,0.54,0.34,0.29,0.28,0.35,0.20,0.24,0.36,0.22,0.30,0.21,0.43,0.45
Depreciation,1.44,1.18,1.20,1.15,1.15,1.22,1.11,0.11,0.11,-0.87,0.11,0.11,0.02
Profit before tax,1.89,10.19,0.87,1.35,-4.28,2.41,0.21,-0.85,-1.04,-24.72,-0.87,-0.02,-0.62
Tax %,0.00%,11.68%,-16.09%,21.48%,25.00%,-12.86%,42.86%,-4.71%,-10.58%,1.09%,4.60%,200.00%,0.00%
Net Profit,1.89,8.99,1.02,1.05,-5.35,2.71,0.12,-0.80,-0.93,-24.99,-0.90,-0.06,-0.62
  └─ Profit excl Excep,1.89,8.99,1.02,1.05,-5.35,2.71,0.12,-0.80,-0.93,-24.99,-0.90,-0.06,-0.62
  └─ Profit for PE,1.89,8.99,1.02,1.05,-5.35,2.71,0.12,-0.80,-0.93,-24.99,-0.90,-0.06,-0.62
  └─ Profit for EPS,1.89,8.99,1.02,1.05,-5.35,2.71,0.12,-0.80,-0.93,-24.99,-0.90,-0.06,-0.62
  └─ YOY Profit Growth %,0.00%,3496.00%,-8.93%,-16.67%,-383.07%,-69.86%,-88.24%,-176.19%,82.62%,-1022.14%,-850.00%,92.50%,33.33%
EPS in Rs,0.19,0.90,0.10,0.11,-0.54,0.27,0.01,-0.08,-0.09,-2.50,-0.09,-0.01,-0.06
Raw PDF,,,,,,,,,,,,,
