Metric,Dec 2017,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,105,74,75,60,134,224,250,307,334,302,438,474,696
  └─ YOY Sales Growth %,-58%,,,,,201%,236%,413%,148%,35%,75%,54%,108%
Expenses,117,63,64,57,116,200,237,291,320,271,392,405,618
  └─ Material Cost %,98%,71%,68%,74%,76%,80%,84%,86%,86%,81%,81%,77%,81%
  └─ Employee Cost %,4%,3%,3%,4%,1%,1%,1%,1%,1%,2%,1%,2%,1%
Operating Profit,-12,11,10,3,18,24,13,16,14,31,46,69,78
OPM %,-12%,15%,14%,5%,13%,11%,5%,5%,4%,10%,10%,15%,11%
Other Income,7,0,-1,-1,3,-0,0,0,0,0,0,1,7
  └─ Exceptional items,0.00,0.00,-1.11,-1.49,2.30,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,7.29,0.07,0.05,0.05,0.58,0.05,0.18,0.09,0.24,0.21,0.10,0.64,7.04
Interest,1,1,2,2,1,3,4,5,1,4,10,11,14
Depreciation,24,5,5,5,5,5,5,5,5,7,7,8,8
Profit before tax,-30,6,2,-5,14,17,4,6,8,20,29,51,62
Tax %,0%,0%,0%,0%,-1%,-0%,-0%,-0%,-0%,0%,4%,2%,3%
Net Profit,-30,6,2,-5,14,17,4,6,8,20,28,50,61
  └─ Exceptional items AT,0,0,-1,-1,2,-0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-30,6,3,-4,12,17,4,6,8,20,28,50,61
  └─ Profit for PE,-30,6,3,-4,12,17,4,6,8,20,28,50,61
  └─ Profit for EPS,-30,6,2,-5,14,17,4,6,8,20,28,50,61
  └─ YOY Profit Growth %,90%,,,,,202%,15%,265%,-37%,21%,593%,693%,691%
EPS in Rs,-0.11,0.10,0.04,-0.10,0.27,0.31,0.08,0.12,0.15,0.38,0.53,0.94,1.15
Raw PDF,,,,,,,,,,,,,
