Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2880,3196,3226,4167,1575,1674,1761,2201,1719,1831,1982,2374,1990
  └─ YOY Sales Growth %,26.15%,11.18%,4.94%,16.10%,-45.30%,-47.62%,-45.43%,-47.19%,9.17%,9.39%,12.56%,7.87%,15.74%
Expenses,2687,2904,2904,3613,1540,1585,1683,1908,1520,1726,1920,2072,1802
  └─ Material Cost %,44.23%,45.24%,46.61%,43.50%,45.29%,46.77%,46.06%,43.18%,36.82%,42.66%,42.12%,41.19%,43.89%
  └─ Employee Cost %,14.38%,13.69%,13.11%,11.70%,17.46%,15.05%,16.48%,14.45%,16.41%,16.55%,16.68%,14.40%,14.84%
Operating Profit,193,292,323,553,35,89,77,293,199,106,62,302,188
OPM %,7%,9%,10%,13%,2%,5%,4%,13%,12%,6%,3%,13%,9%
Other Income,39,61,46,51,84,57,134,95,243,64,55,40,112
  └─ Exceptional items,0,0,0,0,21,23,102,60,147,0,0,-28,-11
  └─ Other income normal,39,61,46,51,63,34,31,35,96,64,55,68,124
Interest,142,187,208,245,152,132,141,151,143,113,124,132,146
Depreciation,348,367,389,444,287,274,286,296,315,316,325,350,349
Profit before tax,-259,-201,-229,-85,-321,-260,-217,-59,-15,-260,-333,-141,-195
Tax %,-25%,-20%,-12%,27%,-17%,-17%,-19%,-28%,52%,-10%,-11%,-3%,-16%
Net Profit,-195,-162,-200,-108,-266,-215,-175,-42,-24,-234,-295,-137,-164
  └─ Minority share,8,20,21,30,37,53,29,-9,7,22,32,-15,15
  └─ Exceptional items AT,0,0,0,0,21,23,102,60,147,0,0,-23,-11
  └─ Profit excl Excep,-195,-162,-200,-108,-287,-238,-277,-103,-171,-234,-295,-114,-153
  └─ Profit for PE,-187,-141,-179,-78,-248,-179,-231,-112,-122,-212,-263,-129,-139
  └─ Profit for EPS,-187,-141,-179,-78,-230,-161,-146,-51,-17,-212,-263,-152,-148
  └─ YOY Profit Growth %,-529%,-245%,-575%,-593%,-32%,-26%,-29%,-43%,51%,-19%,-14%,-16%,-14%
EPS in Rs,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.36,-0.48,-0.14,-1.74,-2.16,-1.25,-1.22
Raw PDF,,,,,,,,,,,,,
