Metric,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022
Sales,42.21,47.46,39.55,63.60,54.41,69.24,63.40,57.81,59.01,57.81,43.28,15.31,44.18
  └─ YOY Sales Growth %,-25.37%,-40.70%,-35.65%,12.79%,28.90%,45.89%,60.30%,-9.10%,8.45%,-16.51%,-31.74%,-73.52%,-25.13%
Expenses,39.92,50.77,30.38,54.26,41.54,64.01,48.14,50.95,49.10,104.00,52.14,19.16,31.88
  └─ Material Cost %,17.74%,29.75%,15.25%,32.92%,4.67%,23.80%,20.38%,29.27%,13.62%,21.43%,4.11%,3.98%,0.38%
  └─ Employee Cost %,20.54%,18.65%,16.51%,15.49%,19.24%,15.25%,15.85%,14.81%,19.35%,21.02%,23.01%,37.69%,19.06%
Operating Profit,2.29,-3.31,9.17,9.34,12.87,5.23,15.26,6.86,9.91,-46.19,-8.86,-3.85,12.30
OPM %,5.43%,-6.97%,23.19%,14.69%,23.65%,7.55%,24.07%,11.87%,16.79%,-79.90%,-20.47%,-25.15%,27.84%
Other Income,14.45,15.91,0.98,1.23,1.04,1.00,1.11,1.27,2.78,1.19,1.88,1.71,2.77
  └─ Other income normal,14.45,15.91,0.98,1.23,1.04,1.00,1.11,1.27,2.78,1.19,1.88,1.71,2.77
Interest,2.22,2.09,1.93,1.96,1.99,1.08,5.19,2.82,2.06,1.81,0.68,0.73,0.67
Depreciation,4.11,4.48,4.34,4.24,4.38,4.41,8.80,8.97,8.80,17.08,6.80,1.36,1.38
Profit before tax,10.41,6.03,3.88,4.37,7.54,0.74,2.38,-3.66,1.83,-63.89,-14.46,-4.23,13.02
Tax %,-1.34%,-22.55%,12.37%,43.02%,29.84%,9.46%,31.51%,-21.31%,115.85%,-14.93%,5.60%,-4.49%,38.79%
Net Profit,10.55,7.39,3.40,2.49,5.29,0.67,1.62,-2.88,-0.29,-54.36,-15.29,-4.03,7.97
  └─ Profit excl Excep,11,7,3,2,5,1,2,-3,-0,-54,-15,-4,8
  └─ Profit for PE,11,7,3,2,5,1,2,-3,-0,-54,-15,-4,8
  └─ Profit for EPS,11,7,3,2,5,1,2,-3,-0,-54,-15,-4,8
  └─ YOY Profit Growth %,106%,-30%,-40%,-68%,-50%,-91%,-52%,-216%,-105%,-8213%,-1044%,-40%,2848%
EPS in Rs,1.27,0.89,0.41,0.28,0.59,0.07,0.18,-0.32,-0.03,-6.03,-1.70,-0.45,0.88
Raw PDF,,,,,,,,,,,,,
