Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,5.30,12.65,8.25,9.08,14.39
  └─ YOY Sales Growth %,,,,71.32%,13.75%
Expenses,4.56,6.63,6.47,7.99,9.50
  └─ Employee Cost %,45.85%,23.40%,49.09%,50.55%,40.17%
Operating Profit,0.74,6.02,1.78,1.09,4.89
OPM %,13.96%,47.59%,21.58%,12.00%,33.98%
Other Income,0.06,0.48,0.00,0.42,0.11
  └─ Other income normal,0.06,0.48,0.00,0.42,0.11
Interest,0.24,0.73,0.73,0.26,0.26
Depreciation,0.11,0.24,0.17,0.17,0.27
Profit before tax,0.45,5.53,0.88,1.08,4.47
Tax %,48.89%,23.15%,19.32%,23.15%,21.48%
Net Profit,0.22,4.26,0.71,0.83,3.51
  └─ Minority share,0.00,-0.18,0.00,-0.03,-0.22
  └─ Profit excl Excep,0.22,4.26,0.71,0.83,3.51
  └─ Profit for PE,0.22,4.08,0.71,0.80,3.29
  └─ Profit for EPS,0.22,4.08,0.71,0.80,3.29
  └─ YOY Profit Growth %,,,,263.64%,-19.36%
EPS in Rs,2.14,39.69,0.73,0.82,3.36
Raw PDF,,,,,
