Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Jun 2024,Jun 2025
Sales,12.00,13.78,15.70,12.81,,
  └─ YOY Sales Growth %,,,,,,35.23%
Expenses,7.84,10.22,10.34,11.48,,
  └─ Employee Cost %,22.42%,23.66%,21.46%,32.16%,,
Operating Profit,4.16,3.56,5.36,1.33,,
OPM %,34.67%,25.83%,34.14%,10.38%,,
Other Income,0.15,0.51,0.24,0.87,,
  └─ Other income normal,0.15,0.51,0.24,0.87,,
Interest,0.60,0.75,0.75,0.75,,
Depreciation,0.34,0.36,0.24,0.30,,
Profit before tax,3.37,2.96,4.61,1.15,,
Tax %,25.22%,29.05%,25.60%,16.52%,,
Net Profit,2.52,2.10,3.43,0.96,,
  └─ Minority share,-0.02,-0.03,-0.28,-0.42,,
  └─ Profit excl Excep,2.52,2.10,3.43,0.96,,
  └─ Profit for PE,2.50,2.07,3.15,0.54,,
  └─ Profit for EPS,2.50,2.07,3.15,0.54,,
EPS in Rs,6.04,2.00,2.24,0.37,,
Raw PDF,,,,,,
