Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,74.96,86.09,96.17,129.97,96.26,103.89,105.87,133.99
  └─ YOY Sales Growth %,,,,,28.42%,20.68%,10.09%,3.09%
Expenses,62.88,73.15,81.34,111.54,83.09,91.13,92.35,115.37
  └─ Material Cost %,55%,57%,56%,63%,57%,60%,58%,60%
  └─ Employee Cost %,15%,12%,13%,10%,14%,13%,12%,12%
Operating Profit,12.08,12.94,14.83,18.43,13.17,12.76,13.52,18.62
OPM %,16.12%,15.03%,15.42%,14.18%,13.68%,12.28%,12.77%,13.90%
Other Income,0.58,0.30,0.14,1.61,1.75,1.86,1.76,1.17
  └─ Other income normal,0.58,0.30,0.14,1.61,1.75,1.86,1.76,1.17
Interest,6.34,5.89,6.53,5.16,4.41,4.41,4.38,4.25
Depreciation,2.57,2.49,2.75,3.00,2.99,3.04,3.04,3.18
Profit before tax,3.75,4.86,5.69,11.88,7.52,7.17,7.86,12.36
Tax %,34.40%,25.93%,30.05%,-13.80%,27.66%,30.40%,29.26%,29.53%
Net Profit,2.45,3.60,3.98,13.51,5.43,4.98,5.56,8.72
  └─ Profit excl Excep,2.45,3.60,3.98,13.51,5.43,4.98,5.56,8.72
  └─ Profit for PE,2.45,3.60,3.98,13.51,5.43,4.98,5.56,8.72
  └─ Profit for EPS,2.45,3.60,3.98,13.51,5.43,4.98,5.56,8.72
  └─ YOY Profit Growth %,,,,,121.63%,38.33%,39.70%,-35.46%
EPS in Rs,0.62,0.91,1.01,2.81,1.13,1.04,1.16,1.81
Raw PDF,,,,,,,,
