Metric,Mar 2024,Dec 2024,Mar 2025
Revenue,3667,4144,4266
  └─ YOY Sales Growth %,,,16.34%
Interest,1377,1645,1650
Expenses,1368,1809,1858
  └─ Employee Cost %,23.91%,21.80%,21.82%
Financing Profit,922,689,758
Financing Margin %,25%,17%,18%
Other Income,-0,-0,-0
Depreciation,40,49,54
Profit before tax,882,641,704
Tax %,26%,26%,25%
Net Profit,656,472,531
  └─ Profit excl Excep,656,472,531
  └─ Profit for PE,656,472,531
  └─ Profit for EPS,656,472,531
  └─ YOY Profit Growth %,,,-19%
EPS in Rs,8.27,5.95,6.67
Gross NPA %,,,
Net NPA %,,,
Raw PDF,,,
