Metric,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,239,398,615,523,321,447,580,533,431,460,564
  └─ YOY Sales Growth %,,,,,34.11%,12.37%,-5.80%,2.05%,34.21%,2.81%,-2.66%
Expenses,271,353,501,535,354,411,467,527,439,417,478
  └─ Material Cost %,78%,64%,65%,86%,84%,69%,62%,81%,80%,67%,61%
  └─ Employee Cost %,12%,8%,5%,6%,9%,7%,6%,6%,7%,8%,7%
Operating Profit,-32,45,114,-12,-33,36,112,6,-8,43,86
OPM %,-13%,11%,18%,-2%,-10%,8%,19%,1%,-2%,9%,15%
Other Income,1,2,11,3,1,4,9,1,-23,-6,9
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.66,-7.88,3.39
  └─ Other income normal,0.95,2.03,10.55,2.75,1.10,3.56,9.25,0.74,3.52,2.06,5.90
Interest,20,18,20,20,20,19,13,15,12,10,11
Depreciation,15,16,14,13,12,12,13,14,14,14,14
Profit before tax,-65,13,91,-42,-64,8,96,-22,-57,13,70
Tax %,0%,-201%,28%,-37%,17%,32%,25%,-28%,-27%,39%,25%
Net Profit,-65,38,65,-26,-75,6,72,-16,-42,8,53
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,-27,-5,3
  └─ Profit excl Excep,-65,38,65,-26,-75,6,72,-16,-15,13,50
  └─ Profit for PE,-65,38,65,-26,-75,6,72,-16,-15,13,50
  └─ Profit for EPS,-65,38,65,-26,-75,6,72,-16,-42,8,53
  └─ YOY Profit Growth %,,,,,-15%,-85%,10%,39%,80%,127%,-30%
EPS in Rs,-15.53,9.16,15.54,-6.23,-17.88,1.13,14.06,-3.13,-8.13,1.61,10.33
Raw PDF,,,,,,,,,,,
