Metric,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011
Sales,10.11,10.85,10.13,8.83,7.62,8.67,8.97,9.97,10.61,12.36,11.89,13.12,12.65
  └─ YOY Sales Growth %,,,,,-24.63%,-20.09%,-11.45%,12.91%,39.24%,42.56%,32.55%,31.59%,19.23%
Expenses,7.05,7.43,8.20,7.69,5.81,5.95,6.79,6.72,7.40,8.48,8.58,9.62,8.58
  └─ Material Cost %,18.00%,17.42%,14.81%,13.48%,14.17%,13.73%,15.27%,13.84%,14.70%,15.45%,12.62%,12.58%,13.91%
  └─ Employee Cost %,16.22%,15.39%,20.04%,22.42%,21.26%,20.53%,20.40%,20.76%,19.42%,18.85%,19.43%,18.52%,19.13%
Operating Profit,3.06,3.42,1.93,1.14,1.81,2.72,2.18,3.25,3.21,3.88,3.31,3.50,4.07
OPM %,30.27%,31.52%,19.05%,12.91%,23.75%,31.37%,24.30%,32.60%,30.25%,31.39%,27.84%,26.68%,32.17%
Other Income,0.00,0.00,0.00,0.12,-0.37,0.00,0.00,-0.38,-0.33,0.00,0.00,0.00,0.03
  └─ Exceptional items,0.00,0.00,0.00,0.00,-0.38,0.00,0.00,-0.38,-0.38,0.00,0.00,0.00,0.00
  └─ Other income normal,0.00,0.00,0.00,0.12,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.03
Interest,0.95,0.93,0.17,1.71,0.68,0.63,0.66,0.57,0.61,0.58,0.58,0.59,0.70
Depreciation,0.71,0.70,0.86,0.70,0.57,0.56,0.59,0.47,0.53,0.54,0.61,0.65,0.66
Profit before tax,1.40,1.79,0.90,-1.15,0.19,1.53,0.93,1.83,1.74,2.76,2.12,2.26,2.74
Tax %,50.00%,19.55%,121.11%,24.35%,194.74%,15.03%,47.31%,50.82%,48.85%,31.16%,14.62%,51.77%,33.94%
Net Profit,0.70,1.44,-0.19,-1.43,-0.18,1.30,0.49,0.90,0.89,1.90,1.81,1.09,1.81
  └─ Exceptional items AT,0,0,0,0,-0,0,0,-0,-0,0,0,0,0
  └─ Profit excl Excep,1,1,-0,-1,-0,1,0,1,1,2,2,1,2
  └─ Profit for PE,1,1,-0,-1,-0,1,0,1,1,2,2,1,2
  └─ Profit for EPS,1,1,-0,-1,-0,1,0,1,1,2,2,1,2
  └─ YOY Profit Growth %,,,,,-124%,-10%,358%,176%,735%,46%,269%,0%,68%
EPS in Rs,,,,,,,,,,,1.52,0.91,1.52
Raw PDF,,,,,,,,,,,,,
