Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,10.58,13.27,5.88,39.13,6.32
  └─ YOY Sales Growth %,,,,270%,-52%
Expenses,6.65,5.96,6.29,12.00,5.62
  └─ Material Cost %,37%,13%,34%,18%,94%
  └─ Employee Cost %,15%,13%,37%,7%,6%
Operating Profit,3.93,7.31,-0.41,27.13,0.70
OPM %,37.15%,55.09%,-6.97%,69.33%,11.08%
Other Income,1.01,1.47,1.71,0.82,0.95
  └─ Other income normal,1.01,1.47,1.71,0.82,0.95
Interest,0.15,0.27,0.29,0.28,0.26
Depreciation,0.70,0.94,0.81,0.84,1.01
Profit before tax,4.09,7.57,0.20,26.83,0.38
Tax %,22.74%,28.80%,-1090.00%,24.08%,552.63%
Net Profit,3.16,5.39,2.38,20.36,-1.72
  └─ Profit excl Excep,3,5,2,20,-2
  └─ Profit for PE,3,5,2,20,-2
  └─ Profit for EPS,3,5,2,20,-2
  └─ YOY Profit Growth %,,,,544%,-132%
EPS in Rs,0.07,0.12,0.05,0.46,-0.04
Raw PDF,,,,,
