Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2154,2101,1235,1873,1837,1601,1750,1707,1705,1719,2294,1725,2594
  └─ YOY Sales Growth %,2%,-6%,-43%,-10%,-15%,-24%,42%,-9%,-7%,7%,31%,1%,52%
Expenses,1952,1905,1027,1662,1530,1369,1526,1474,1296,1479,2003,1428,1970
  └─ Material Cost %,87%,87%,76%,84%,78%,80%,82%,81%,70%,81%,83%,77%,69%
  └─ Employee Cost %,1%,1%,2%,1%,2%,2%,1%,1%,1%,1%,1%,1%,1%
Operating Profit,203,196,208,212,307,232,224,233,409,240,291,297,624
OPM %,9%,9%,17%,11%,17%,15%,13%,14%,24%,14%,13%,17%,24%
Other Income,64,37,44,45,63,44,39,60,65,63,96,81,87
  └─ Other income normal,64,37,44,45,63,44,39,60,65,63,96,81,87
Interest,25,30,27,30,29,31,30,51,52,33,24,26,63
Depreciation,29,33,34,34,33,37,37,37,41,42,52,53,53
Profit before tax,212,170,192,192,307,208,196,204,381,228,310,299,596
Tax %,25%,22%,22%,21%,23%,24%,22%,22%,17%,23%,21%,22%,24%
Net Profit,159,133,150,152,237,158,152,160,318,175,244,233,455
  └─ Minority share,-18,-17,-23,-22,-41,-27,-26,-35,-36,-44,-64,-56,-44
  └─ Profit excl Excep,159,133,150,152,237,158,152,160,318,175,244,233,455
  └─ Profit for PE,141,116,127,130,196,131,126,124,282,131,180,177,410
  └─ Profit for EPS,141,116,127,130,196,131,126,124,282,131,180,177,410
  └─ YOY Profit Growth %,49%,12%,36%,4%,39%,14%,-1%,-5%,44%,-0%,43%,42%,46%
EPS in Rs,4.01,3.30,3.62,3.71,5.59,3.75,3.59,3.54,8.02,3.74,5.12,5.04,11.69
Raw PDF,,,,,,,,,,,,,
