Metric,Sep 2024,Dec 2024,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,36.68,26.24,27.62
Expenses,0.17,0.09,0.13,30.28,19.91,24.26
  └─ Material Cost %,,,,80%,72%,82%
  └─ Employee Cost %,,,,1%,1%,0%
Operating Profit,-0.17,-0.09,-0.13,6.40,6.33,3.36
OPM %,,,,17.45%,24.12%,12.17%
Other Income,0.69,1.52,0.83,0.55,0.53,0.54
  └─ Other income normal,0.69,1.52,0.83,0.55,0.53,0.54
Interest,0.23,0.34,0.33,0.34,0.28,0.45
Depreciation,0.00,0.00,0.00,0.07,0.18,0.32
Profit before tax,0.29,1.09,0.37,6.54,6.40,3.13
Tax %,24.14%,24.77%,24.32%,2.60%,1.09%,2.88%
Net Profit,0.22,0.82,0.28,6.37,6.33,3.03
  └─ Minority share,0.00,0.00,0.00,-3.03,-2.97,-1.59
  └─ Profit excl Excep,0.22,0.82,0.28,6.37,6.33,3.03
  └─ Profit for PE,0.22,0.82,0.28,3.34,3.36,1.44
  └─ Profit for EPS,0.22,0.82,0.28,3.34,3.36,1.44
  └─ YOY Profit Growth %,,,,1418.18%,309.76%,
EPS in Rs,0.14,0.52,0.13,1.59,1.60,0.69
Raw PDF,,,,,,
