Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue,3773,3851,4185,4627,4987,5224,5219,5552,5860,6024,6078,6220,6745
  └─ YOY Sales Growth %,5.79%,7.89%,12.50%,18.06%,32.20%,35.65%,24.71%,19.99%,17.49%,15.32%,16.47%,12.03%,15.10%
Interest,2120,2202,2415,2675,3015,3215,3302,3564,3672,3770,3778,3842,4046
Expenses,1757,1402,1766,1754,2025,2295,1924,2072,2507,2227,2355,2567,3055
  └─ Employee Cost %,22.01%,21.35%,22.60%,22.63%,21.20%,19.68%,20.36%,22.58%,26.33%,20.06%,21.46%,21.27%,23.99%
Financing Profit,-105,248,4,198,-53,-286,-7,-84,-319,27,-54,-190,-356
Financing Margin %,-3%,6%,0%,4%,-1%,-5%,-0%,-2%,-5%,0%,-1%,-3%,-5%
Other Income,589,-54,780,823,960,633,647,861,1125,835,993,1186,1392
  └─ Other income normal,589,-54,780,823,960,633,647,861,1125,835,993,1186,1392
Depreciation,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Profit before tax,484,193,784,1021,907,347,640,777,806,862,939,996,1036
Tax %,36%,36%,36%,36%,36%,36%,37%,35%,35%,36%,36%,36%,37%
Net Profit,315,117,497,654,557,225,404,505,538,555,607,640,666
  └─ Profit from Associates,2,-6,-7,1,-24,1,2,2,12,4,4,1,13
  └─ Profit excl Excep,315,117,497,654,557,225,404,505,538,555,607,640,666
  └─ Profit for PE,315,117,497,654,557,225,404,505,538,555,607,640,666
  └─ Profit for EPS,315,117,497,654,557,225,404,505,538,555,607,640,666
  └─ YOY Profit Growth %,353%,34%,147%,111%,77%,91%,-19%,-23%,-4%,147%,50%,27%,24%
EPS in Rs,0.26,0.10,0.42,0.55,0.47,0.19,0.34,0.42,0.45,0.46,0.51,0.54,0.53
Gross NPA %,7.89%,7.42%,6.58%,5.63%,4.78%,4.48%,4.14%,3.85%,3.46%,3.32%,3.18%,2.91%,2.69%
Net NPA %,2.70%,2.49%,1.99%,1.66%,1.29%,1.18%,1.11%,0.98%,0.89%,0.78%,0.73%,0.63%,0.50%
Raw PDF,,,,,,,,,,,,,
