Metric,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,181,134,120,177,221,337,323
Expenses,175,125,122,172,222,331,328
  └─ Material Cost %,90%,86%,91%,88%,88%,90%,90%
  └─ Employee Cost %,1%,1%,3%,2%,2%,2%,1%
Operating Profit,6,10,-2,5,-1,6,-5
OPM %,4%,7%,-2%,3%,-0%,2%,-1%
Other Income,6,5,13,18,21,19,15
  └─ Exceptional items,0.90,0.46,-1.10,0.06,-0.16,0.00,-3.02
  └─ Other income normal,4.84,4.96,13.88,17.95,20.69,19.00,17.66
Interest,5,6,7,8,8,9,8
Depreciation,2,2,2,3,4,5,4
Profit before tax,5,8,2,12,8,11,-2
Tax %,24%,25%,24%,24%,27%,29%,-22%
Net Profit,4,6,2,9,6,8,-2
  └─ Minority share,-0.61,-1.46,-0.04,-1.93,-2.61,-1.96,-1.20
  └─ Exceptional items AT,0.69,0.34,-0.84,0.04,-0.12,0.00,-3.02
  └─ Profit excl Excep,3.13,5.42,2.59,9.11,5.91,8.15,1.44
  └─ Profit for PE,2.63,4.05,2.53,7.19,3.25,6.19,0.24
  └─ Profit for EPS,3.21,4.30,1.71,7.22,3.18,6.19,-2.78
EPS in Rs,2.27,3.05,0.81,3.44,1.52,2.95,-1.32
Raw PDF,,,,,,,
