Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,46.51,48.99,54.39,53.28,53.34,66.40,74.33,79.91
  └─ YOY Sales Growth %,,,,,14.69%,35.54%,36.66%,49.98%
Expenses,42.18,45.57,51.61,50.19,49.36,62.52,68.03,74.78
  └─ Material Cost %,73%,76%,77%,76%,75%,79%,78%,80%
  └─ Employee Cost %,10%,10%,9%,10%,9%,10%,9%,5%
Operating Profit,4.33,3.42,2.78,3.09,3.98,3.88,6.30,5.13
OPM %,9.31%,6.98%,5.11%,5.80%,7.46%,5.84%,8.48%,6.42%
Other Income,0.29,0.35,0.10,0.20,0.04,0.20,0.15,0.26
  └─ Other income normal,0.29,0.35,0.10,0.20,0.04,0.20,0.15,0.26
Interest,0.03,0.03,0.13,0.15,0.15,0.14,0.15,0.28
Depreciation,0.04,0.04,0.06,0.05,0.05,0.05,0.15,0.08
Profit before tax,4.55,3.70,2.69,3.09,3.82,3.89,6.15,5.03
Tax %,25.27%,25.14%,32.34%,36.89%,25.13%,21.59%,23.09%,35.39%
Net Profit,3.46,2.77,1.84,1.96,2.89,3.12,4.73,3.24
  └─ Profit from Associates,0.06,0.00,0.02,0.00,0.03,0.06,0.00,0.00
  └─ Minority share,-0.03,-0.02,-0.03,-0.03,-0.06,-0.10,-0.21,-0.39
  └─ Profit excl Excep,3.46,2.77,1.84,1.96,2.89,3.12,4.73,3.24
  └─ Profit for PE,3.43,2.75,1.81,1.93,2.83,3.02,4.52,2.85
  └─ Profit for EPS,3.43,2.75,1.81,1.93,2.83,3.02,4.52,2.85
  └─ YOY Profit Growth %,,,,,-17.49%,9.82%,149.72%,47.67%
EPS in Rs,2.51,2.02,1.33,1.41,2.07,2.21,3.31,2.05
Raw PDF,,,,,,,,
