Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,0.00,0.00,0.38,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.28,0.01,0.00
  └─ YOY Sales Growth %,,,153.33%,-100.00%,,,-50.00%,,,,47.37%,,
Expenses,0.23,0.13,0.49,0.92,0.60,-0.33,0.94,0.76,0.91,-0.02,0.22,1.54,0.88
  └─ Material Cost %,,,21.05%,,,,26.32%,,,,21.43%,1200.00%,
  └─ Employee Cost %,,,15.79%,,,,36.84%,,,,21.43%,700.00%,
Operating Profit,-0.23,-0.13,-0.11,-0.92,-0.60,0.33,-0.75,-0.76,-0.91,0.02,0.06,-1.53,-0.88
OPM %,,,-28.95%,,,,-394.74%,,,,21.43%,-15300.00%,
Other Income,0.22,0.14,0.34,0.00,0.00,0.65,0.00,0.00,0.25,-2.05,1.36,1.17,0.80
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.58,0.90,0.50,0.45
  └─ Other income normal,0.22,0.14,0.34,0.00,0.00,0.65,0.00,0.00,0.25,0.53,0.46,0.67,0.35
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.45,0.38,0.38,0.28
Depreciation,0.03,-0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-0.04,0.07,0.22,-0.93,-0.61,0.97,-0.76,-0.77,-0.93,-2.49,1.03,-0.75,-0.37
Tax %,975.00%,-57.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.67%,0.00%
Net Profit,-0.43,0.11,0.22,-0.92,-0.60,0.97,-0.76,-0.77,-0.93,-2.49,1.04,-0.76,-0.36
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.58,0.90,0.49,0.45
  └─ Profit excl Excep,-0.43,0.11,0.22,-0.92,-0.60,0.97,-0.76,-0.77,-0.93,0.09,0.14,-1.25,-0.81
  └─ Profit for PE,-0.43,0.11,0.22,-0.92,-0.60,0.97,-0.76,-0.77,-0.93,0.09,0.14,-1.25,-0.81
  └─ Profit for EPS,-0.43,0.11,0.22,-0.92,-0.60,0.97,-0.76,-0.77,-0.93,-2.49,1.04,-0.76,-0.36
  └─ YOY Profit Growth %,,,246.67%,-513.33%,-39.53%,781.82%,-445.45%,16.30%,-55.00%,-90.72%,118.42%,-62.34%,12.90%
EPS in Rs,-0.72,0.19,0.37,-1.55,-1.01,1.63,-1.28,-1.30,-1.57,-4.19,1.75,-1.28,-0.61
Raw PDF,,,,,,,,,,,,,
