Metric,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021
Sales,0.00,0.00,0.00,3.21,0.14,0.14,0.00,0.00,0.88,1.03,0.00,0.95,0.00
  └─ YOY Sales Growth %,,,,,,,,-100%,529%,636%,,,-100%
Expenses,0.69,0.36,0.30,3.44,1.36,0.61,0.15,0.40,1.32,1.72,0.17,1.63,0.31
  └─ Material Cost %,,,,92.21%,100.00%,100.00%,,,113.64%,101.94%,,107.37%,
  └─ Employee Cost %,,,,2.18%,50.00%,50.00%,,,6.82%,8.74%,,8.42%,
Operating Profit,-0.69,-0.36,-0.30,-0.23,-1.22,-0.47,-0.15,-0.40,-0.44,-0.69,-0.17,-0.68,-0.31
OPM %,,,,-7.17%,-871.43%,-335.71%,,,-50.00%,-66.99%,,-71.58%,
Other Income,0.84,0.37,1.37,0.37,3.17,0.42,0.43,0.40,2.94,0.49,1.06,0.53,3.15
  └─ Other income normal,0.84,0.37,1.37,0.37,3.17,0.42,0.43,0.40,2.94,0.49,1.06,0.53,3.15
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
Profit before tax,0.11,-0.03,1.03,0.10,1.91,-0.09,0.24,-0.04,2.47,-0.23,0.86,-0.18,2.81
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.11,-0.03,1.04,0.10,1.91,-0.09,0.25,-0.04,2.46,-0.23,0.85,-0.18,2.81
  └─ Profit excl Excep,0.11,-0.03,1.04,0.10,1.91,-0.09,0.25,-0.04,2.46,-0.23,0.85,-0.18,2.81
  └─ Profit for PE,0.11,-0.03,1.04,0.10,1.91,-0.09,0.25,-0.04,2.46,-0.23,0.85,-0.18,2.81
  └─ Profit for EPS,0.11,-0.03,1.04,0.10,1.91,-0.09,0.25,-0.04,2.46,-0.23,0.85,-0.18,2.81
  └─ YOY Profit Growth %,,,2500.00%,433.33%,1636.36%,-200.00%,-75.96%,-140.00%,28.80%,-155.56%,240.00%,-350.00%,14.23%
EPS in Rs,0.02,-0.01,0.19,0.02,0.34,-0.02,0.04,-0.01,0.44,-0.04,0.15,-0.03,0.50
Raw PDF,,,,,,,,,,,,,
