Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,197,219,246,260,266
  └─ YOY Sales Growth %,,,,31.67%,21.18%
Expenses,153,168,182,199,215
  └─ Material Cost %,25.04%,24.42%,22.05%,22.53%,22.45%
  └─ Employee Cost %,16.69%,15.61%,17.48%,16.59%,17.29%
Operating Profit,44,51,64,61,51
OPM %,22%,23%,26%,23%,19%
Other Income,5,4,4,3,12
  └─ Other income normal,5.37,4.11,3.89,3.32,11.57
Interest,5,6,45,6,3
Depreciation,18,19,23,22,26
Profit before tax,26,30,-1,36,33
Tax %,24%,17%,1427%,11%,9%
Net Profit,20,25,-9,32,30
  └─ Profit excl Excep,20.11,24.87,-9.47,32.24,30.37
  └─ Profit for PE,20.11,24.87,-9.47,32.24,30.37
  └─ Profit for EPS,20.11,24.87,-9.47,32.24,30.37
  └─ YOY Profit Growth %,,,,60.32%,22.11%
EPS in Rs,96.50,119.30,-5.24,3.21,3.03
Raw PDF,,,,,
