Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,260,275,424,300,258,296,437,341,335,452,522,301,319
  └─ YOY Sales Growth %,,-23.96%,0.86%,8.56%,-0.87%,7.65%,3.09%,13.89%,29.80%,52.72%,19.27%,-11.70%,-4.57%
Expenses,240,279,380,275,246,256,378,329,349,421,473,289,343
  └─ Material Cost %,67%,78%,69%,66%,62%,61%,65%,70%,72%,70%,66%,64%,78%
  └─ Employee Cost %,7%,6%,5%,7%,9%,8%,6%,8%,8%,6%,6%,10%,9%
Operating Profit,20,-4,44,24,12,40,60,13,-14,31,49,12,-23
OPM %,8%,-1%,10%,8%,5%,14%,14%,4%,-4%,7%,9%,4%,-7%
Other Income,3,6,2,2,5,1,3,0,3,13,-3,4,-6
  └─ Other income normal,3.13,5.79,1.84,1.69,4.51,1.14,3.06,0.27,3.11,12.77,-3.12,3.80,-5.51
Interest,3,2,2,3,5,5,6,6,14,12,12,12,14
Depreciation,6,6,6,6,8,13,14,14,16,21,26,26,25
Profit before tax,15,-6,38,17,4,24,43,-7,-41,11,8,-22,-68
Tax %,24%,-9%,29%,18%,120%,30%,12%,41%,1%,43%,128%,7%,-14%
Net Profit,11,-6,27,14,-1,17,38,-10,-42,6,-2,-23,-58
  └─ Minority share,0,0,0,0,0,0,0,0,0,-0,1,0,0
  └─ Profit excl Excep,11,-6,27,14,-1,17,38,-10,-42,6,-2,-23,-58
  └─ Profit for PE,11,-6,27,14,-0,17,38,-10,-41,6,-1,-23,-58
  └─ Profit for EPS,11,-6,27,14,-0,17,38,-10,-41,6,-1,-23,-58
  └─ YOY Profit Growth %,,-117%,-43%,10%,-103%,399%,41%,-173%,-12103%,-64%,-104%,-128%,-39%
EPS in Rs,2.79,-1.40,6.73,3.48,-0.08,4.19,9.49,-2.55,-10.37,1.52,-0.36,-5.81,-14.45
Raw PDF,,,,,,,,,,,,,
