Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,1339,1205,1649,843,898,1097,1123,1264,952,1246,1423,344,187
  └─ YOY Sales Growth %,50%,-7%,229%,-40%,-33%,-9%,-32%,50%,6%,14%,27%,-73%,-80%
Expenses,1208,1116,1510,768,879,978,1022,1148,920,1105,1249,334,202
  └─ Material Cost %,65%,63%,71%,60%,64%,60%,64%,62%,64%,65%,64%,82%,80%
  └─ Employee Cost %,2%,3%,2%,4%,4%,3%,3%,3%,4%,3%,3%,5%,9%
Operating Profit,131,90,139,75,19,118,101,117,32,141,174,9,-14
OPM %,10%,7%,8%,9%,2%,11%,9%,9%,3%,11%,12%,3%,-8%
Other Income,-629,15,45,43,131,12,81,51,61,72,923,43,11
  └─ Exceptional items,-698.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,817.49,-2.90,-2.80
  └─ Other income normal,70.41,15.08,45.11,43.22,131.09,11.55,81.18,50.56,61.32,72.41,105.86,45.53,14.09
Interest,54,57,55,49,51,48,44,40,36,34,32,18,17
Depreciation,21,23,23,24,25,25,25,26,25,25,25,4,5
Profit before tax,-573,25,106,45,74,56,113,101,32,154,1040,30,-25
Tax %,-25%,106%,37%,37%,-4%,48%,18%,20%,16%,17%,19%,-34%,0%
Net Profit,-427,-2,67,29,77,29,93,81,27,127,840,40,-25
  └─ Minority share,-32,-23,-31,-15,-2,-20,-12,-26,-7,-28,-34,-0,0
  └─ Exceptional items AT,-688,0,0,0,0,0,0,0,0,0,661,-1,-3
  └─ Profit excl Excep,261,-2,67,29,77,29,93,81,27,127,180,41,-22
  └─ Profit for PE,229,-24,36,13,75,9,81,55,20,99,172,41,-22
  └─ Profit for EPS,-458,-24,36,13,75,9,81,55,20,99,806,40,-25
  └─ YOY Profit Growth %,4180%,-150%,198%,-81%,-67%,138%,129%,307%,-74%,981%,112%,-25%,-213%
EPS in Rs,-108.99,-5.77,8.44,3.19,17.87,2.18,19.31,12.97,4.72,23.54,191.68,9.43,-5.95
Raw PDF,,,,,,,,,,,,,
