Metric,Dec 2024
Sales,2.50
Expenses,6.93
Operating Profit,-4.43
OPM %,-177.20%
Other Income,2.48
  └─ Other income normal,2.48
Interest,0.00
Depreciation,0.96
Profit before tax,-2.91
Tax %,0.00%
Net Profit,-2.92
  └─ Profit excl Excep,-2.92
  └─ Profit for PE,-2.92
  └─ Profit for EPS,-2.92
EPS in Rs,-4.71
Raw PDF,
