Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,201.98,187.34,201.11,192.81,178.41,180.64,206.06,208.30,303.87,372.12,383.30,407.47,386.55
  └─ YOY Sales Growth %,-5.03%,0.55%,-14.96%,-14.28%,-11.67%,-3.58%,2.46%,8.03%,70.32%,106.00%,86.01%,95.62%,27.21%
Expenses,188.79,175.90,192.52,183.86,173.20,174.54,199.91,193.90,304.23,358.46,379.38,387.13,365.37
  └─ Material Cost %,63%,62%,61%,61%,64%,63%,63%,62%,65%,65%,63%,63%,65%
  └─ Employee Cost %,7%,9%,8%,8%,8%,9%,8%,8%,10%,10%,12%,11%,11%
Operating Profit,13.19,11.44,8.59,8.95,5.21,6.10,6.15,14.40,-0.36,13.66,3.92,20.34,21.18
OPM %,6.53%,6.11%,4.27%,4.64%,2.92%,3.38%,2.98%,6.91%,-0.12%,3.67%,1.02%,4.99%,5.48%
Other Income,0.04,1.17,0.05,0.22,2.72,0.28,0.06,-3.41,-141.36,0.92,0.56,0.47,0.86
  └─ Exceptional items,0.00,0.00,0.00,0.00,2.68,0.00,0.00,-3.78,-142.97,0.00,0.00,0.00,0.00
  └─ Other income normal,0.04,1.17,0.05,0.22,0.04,0.28,0.06,0.37,1.61,0.92,0.56,0.47,0.86
Interest,0.99,1.20,0.78,0.43,0.47,0.74,0.48,0.23,0.28,0.36,0.33,0.68,0.46
Depreciation,5.52,5.23,5.34,5.33,5.26,5.36,5.52,5.53,9.34,8.56,8.04,7.95,8.34
Profit before tax,6.72,6.18,2.52,3.41,2.20,0.28,0.21,5.23,-151.34,5.66,-3.89,12.18,13.24
Tax %,25.30%,26.54%,25.79%,26.10%,32.73%,28.57%,76.19%,25.24%,-24.64%,23.85%,-46.27%,33.83%,25.60%
Net Profit,5.02,4.54,1.87,2.52,1.48,0.20,0.05,3.91,-114.05,4.31,-2.09,8.06,9.85
  └─ Exceptional items AT,0,0,0,0,2,0,0,-3,-143,0,0,0,0
  └─ Profit excl Excep,5,5,2,3,-0,0,0,7,29,4,-2,8,10
  └─ Profit for PE,5,5,2,3,-0,0,0,7,29,4,-2,8,10
  └─ Profit for EPS,5,5,2,3,1,0,0,4,-114,4,-2,8,10
  └─ YOY Profit Growth %,4%,1964%,-38%,-63%,-102%,-96%,-97%,167%,24200%,2055%,-4280%,20%,-66%
EPS in Rs,2.06,1.86,0.77,1.03,0.61,0.08,0.02,1.60,-30.25,1.14,-0.55,2.14,2.61
Raw PDF,,,,,,,,,,,,,
