Metric,Dec 2010,Mar 2011,Dec 2011,Mar 2012,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017
Revenue,1.65,1.85,6.11,4.23,10.96,33.96,17.07,16.54,12.07
  └─ YOY Sales Growth %,,,270.30%,128.65%,,,,,10.13%
Interest,1.40,1.03,0.05,0.00,0.03,0.02,0.05,0.20,0.13
Expenses,0.18,0.23,4.60,9.01,11.48,32.63,17.27,14.98,11.24
  └─ Material Cost %,0%,0%,68%,203%,99%,92%,91%,85%,74%
  └─ Employee Cost %,4%,3%,3%,5%,1%,0%,3%,2%,3%
Financing Profit,0.07,0.59,1.46,-4.78,-0.55,1.31,-0.25,1.36,0.70
Financing Margin %,4.24%,31.89%,23.90%,-113.00%,-5.02%,3.86%,-1.46%,8.22%,5.80%
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00
Depreciation,0.00,0.04,0.26,0.14,0.03,0.08,0.08,0.19,0.09
Profit before tax,0.07,0.55,1.20,-4.92,-0.58,1.23,-0.33,2.06,0.61
Tax %,14.29%,30.91%,30.00%,5.69%,0.00%,0.00%,0.00%,42.72%,29.51%
Net Profit,0.06,0.38,0.84,-5.20,-0.58,1.23,-0.33,1.18,0.44
  └─ Exceptional items AT,0,0,0,0,0,0,0,1,0
  └─ Profit excl Excep,0,0,1,-5,-1,1,-0,1,0
  └─ Profit for PE,0,0,1,-5,-1,1,-0,1,0
  └─ Profit for EPS,0,0,1,-5,-1,1,-0,1,0
  └─ YOY Profit Growth %,,,1300%,-1468%,,,,,176%
EPS in Rs,,,1.23,-7.62,-0.85,1.80,-0.48,1.73,0.64
Gross NPA %,,,,,,,,,
Net NPA %,,,,,,,,,
Raw PDF,,,,,,,,,
