Metric,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.10,0.00,0.00,10.95,65.12
  └─ YOY Sales Growth %,,,,10850.00%,
Expenses,0.33,-0.04,0.07,9.48,62.75
  └─ Material Cost %,0%,,,82%,94%
  └─ Employee Cost %,0%,,,3%,1%
Operating Profit,-0.23,0.04,-0.07,1.47,2.37
OPM %,-230.00%,,,13.42%,3.64%
Other Income,0.20,-0.02,0.00,0.02,0.70
  └─ Other income normal,0.20,-0.02,0.00,0.02,0.70
Interest,0.00,0.00,0.00,0.00,0.16
Depreciation,0.03,0.03,0.03,0.03,0.04
Profit before tax,-0.06,-0.01,-0.10,1.46,2.87
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.06,-0.01,-0.10,1.46,2.87
  └─ Profit excl Excep,-0,-0,-0,1,3
  └─ Profit for PE,-0,-0,-0,1,3
  └─ Profit for EPS,-0,-0,-0,1,3
  └─ YOY Profit Growth %,,,,2533%,28800%
EPS in Rs,-0.23,-0.04,-0.38,0.23,0.45
Raw PDF,,,,,
