Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2025,Dec 2025,Mar 2026
Sales,28.77,32.17,24.78,27.38,40.20,41.19,31.90,32.31,37.75,35.33,30.80,38.66,48.37
  └─ YOY Sales Growth %,24.06%,61.74%,-19.34%,27.35%,39.73%,28.04%,28.73%,18.01%,-6.09%,-14.23%,-4.67%,2.41%,36.91%
Expenses,30.66,30.41,24.23,23.62,45.21,29.16,27.32,24.37,26.39,25.77,23.04,26.50,33.99
  └─ Material Cost %,26.83%,26.27%,25.02%,15.05%,35.22%,36.13%,11.44%,11.14%,10.62%,11.58%,12.08%,9.73%,8.75%
  └─ Employee Cost %,18.67%,17.35%,22.76%,21.99%,15.25%,15.51%,19.40%,21.08%,18.09%,20.63%,21.36%,17.98%,18.98%
Operating Profit,-1.89,1.76,0.55,3.76,-5.01,12.03,4.58,7.94,11.36,9.56,7.76,12.16,14.38
OPM %,-6.57%,5.47%,2.22%,13.73%,-12.46%,29.21%,14.36%,24.57%,30.09%,27.06%,25.19%,31.45%,29.73%
Other Income,1.62,0.96,2.68,0.00,0.55,-2.77,1.06,1.45,0.40,1.27,1.06,3.21,1.17
  └─ Exceptional items,0.00,0.00,0.00,0.00,-3.18,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,1.62,0.96,2.68,0.00,3.73,-2.77,0.40,1.45,0.40,1.27,1.06,3.21,1.17
Interest,0.00,0.45,0.03,0.51,0.01,1.43,1.41,1.29,1.61,0.64,1.10,1.15,5.30
Depreciation,2.15,2.15,2.16,2.10,2.11,7.61,2.91,2.94,3.16,3.11,3.43,3.49,4.75
Profit before tax,-2.42,0.12,1.04,1.15,-6.58,0.22,1.32,5.16,6.99,7.08,4.29,10.73,5.50
Tax %,5.37%,108.33%,51.92%,-37.39%,0.46%,-1000.00%,17.42%,-1056.20%,-4.29%,-40.82%,-2.10%,-2.05%,-9.09%
Net Profit,-2.54,0.00,0.50,1.58,-6.61,2.42,1.09,59.66,7.29,9.96,4.38,10.96,6.00
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,-3.17,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Profit excl Excep,-2.54,0.00,0.50,1.58,-3.44,2.42,0.54,59.66,7.29,9.96,4.38,10.96,6.00
  └─ Profit for PE,-2.54,0.00,0.50,1.58,-3.44,2.42,0.54,59.66,7.29,9.96,4.38,10.96,6.00
  └─ Profit for EPS,-2.54,0.00,0.50,1.58,-6.61,2.42,1.09,59.66,7.29,9.96,4.38,10.96,6.00
  └─ YOY Profit Growth %,2.68%,100.00%,-61.54%,32.77%,-35.43%,,8.00%,3675.95%,311.92%,311.57%,-92.66%,50.34%,-39.76%
EPS in Rs,-0.35,0.00,0.07,0.22,-0.62,0.23,0.10,5.55,1.08,1.47,0.65,1.62,0.89
Raw PDF,,,,,,,,,,,,,
