Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,67,74,79,80,77,82,83,66,75,80,75,85,90
  └─ YOY Sales Growth %,14.76%,23.81%,28.98%,5.76%,14.91%,10.43%,5.51%,-17.92%,-3.62%,-2.60%,-10.31%,29.30%,20.57%
Expenses,47,51,55,54,56,58,59,48,51,55,49,55,57
  └─ Material Cost %,24.89%,20.66%,24.02%,20.85%,22.37%,23.10%,24.41%,20.61%,20.30%,22.22%,19.07%,21.48%,22.68%
  └─ Employee Cost %,28.60%,28.44%,28.70%,29.18%,29.80%,26.89%,29.54%,34.73%,30.91%,29.79%,29.98%,28.25%,25.99%
Operating Profit,21,23,24,25,21,24,25,17,24,24,26,30,33
OPM %,31%,31%,30%,32%,28%,30%,30%,27%,32%,31%,35%,35%,37%
Other Income,1,0,1,1,1,1,1,0,-1,0,-1,-1,5
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.78,-2.12,0.00,-1.62,-1.77,3.98
  └─ Other income normal,0.71,0.44,0.89,0.76,1.12,0.67,0.59,2.04,0.70,0.49,0.69,0.68,1.23
Interest,0,1,1,1,1,0,0,1,1,1,0,0,1
Depreciation,6,7,7,8,8,8,8,9,8,8,8,8,10
Profit before tax,15,16,17,18,14,17,16,8,14,16,17,20,28
Tax %,25%,27%,28%,26%,27%,23%,25%,25%,25%,24%,26%,24%,23%
Net Profit,12,12,12,13,10,13,12,6,10,12,12,15,22
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.78,-2.12,0.00,-1.62,-1.77,3.98
  └─ Profit excl Excep,11.68,11.83,12.04,13.21,10.24,12.68,12.20,8.11,12.25,12.35,13.90,17.02,17.52
  └─ Profit for PE,11.68,11.83,12.04,13.21,10.24,12.68,12.20,8.11,12.25,12.35,13.90,17.02,17.52
  └─ Profit for EPS,11.68,11.83,12.04,13.21,10.24,12.68,12.20,6.33,10.13,12.35,12.28,15.25,21.50
  └─ YOY Profit Growth %,44.73%,52.84%,49.19%,24.74%,-12.33%,7.19%,1.33%,-38.61%,19.63%,-2.60%,13.93%,109.86%,43.02%
EPS in Rs,2.64,2.68,2.72,2.99,2.32,2.86,2.75,1.43,2.29,2.79,2.77,3.44,4.84
Raw PDF,,,,,,,,,,,,,
