Metric,Mar 2020,Sep 2020,Mar 2021,Sep 2021,Mar 2022,Sep 2022,Mar 2023,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,42.79,16.49,22.92,7.51,11.26,17.75,18.50,22.02,22.41,24.95,30.37,24.92,30.46
Expenses,37.82,17.25,21.29,7.14,13.03,17.94,17.10,20.40,20.28,21.60,30.15,22.75,29.02
  └─ Material Cost %,80%,95%,81%,75%,99%,87%,71%,76%,74%,69%,80%,65%,81%
  └─ Employee Cost %,3%,5%,3%,9%,6%,7%,7%,6%,9%,7%,11%,8%,13%
Operating Profit,4.97,-0.76,1.63,0.37,-1.77,-0.19,1.40,1.62,2.13,3.35,0.22,2.17,1.44
OPM %,11.61%,-4.61%,7.11%,4.93%,-15.72%,-1.07%,7.57%,7.36%,9.50%,13.43%,0.72%,8.71%,4.73%
Other Income,0.15,0.01,0.01,0.14,2.03,1.66,2.28,1.27,0.61,1.36,0.83,0.82,0.75
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.36,0.71,0.44,0.00,0.00,0.60,0.00,0.00,0.00
  └─ Other income normal,0.15,0.01,0.01,0.14,1.67,0.95,1.84,1.27,0.61,0.76,0.83,0.82,0.75
Interest,1.18,0.84,1.59,0.88,1.15,1.41,1.55,1.33,1.28,1.17,0.96,0.81,0.70
Depreciation,0.22,0.21,0.21,0.15,0.13,0.08,0.31,0.33,0.37,0.32,0.34,0.29,0.31
Profit before tax,3.72,-1.80,-0.16,-0.52,-1.02,-0.02,1.82,1.23,1.09,3.22,-0.25,1.89,1.18
Tax %,0.00%,0.00%,-18.75%,0.00%,5.88%,0.00%,6.04%,0.00%,-14.68%,0.00%,-172.00%,18.52%,34.75%
Net Profit,3.71,-1.80,-0.13,-0.51,-1.08,-0.02,1.71,1.22,1.25,3.22,0.19,1.54,0.77
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.34,0.71,0.41,0.00,0.00,0.60,0.00,0.00,0.00
  └─ Profit excl Excep,3.71,-1.80,-0.13,-0.51,-1.42,-0.73,1.30,1.22,1.25,2.62,0.19,1.54,0.77
  └─ Profit for PE,3.71,-1.80,-0.13,-0.51,-1.42,-0.73,1.30,1.22,1.25,2.62,0.19,1.54,0.77
  └─ Profit for EPS,3.71,-1.80,-0.13,-0.51,-1.08,-0.02,1.71,1.22,1.25,3.22,0.19,1.54,0.77
EPS in Rs,3.55,-1.72,-0.12,-0.49,-1.03,-0.02,1.32,0.88,0.90,2.33,0.14,1.11,0.56
Raw PDF,,,,,,,,,,,,,
