Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026,Dec 2024,Dec 2025
Sales,6.59,6.60,8.15,15.62,,
  └─ YOY Sales Growth %,,,,,,201%
Expenses,3.48,3.55,4.25,9.64,,
  └─ Material Cost %,16.24%,6.06%,12.02%,23.43%,,
  └─ Employee Cost %,26.40%,25.61%,25.28%,21.77%,,
Operating Profit,3.11,3.05,3.90,5.98,,
OPM %,47.19%,46.21%,47.85%,38.28%,,
Other Income,0.09,0.20,0.17,0.53,,
  └─ Other income normal,0.09,0.20,0.17,0.53,,
Interest,0.02,0.01,0.02,0.04,,
Depreciation,0.27,0.51,0.27,0.59,,
Profit before tax,2.91,2.73,3.78,5.88,,
Tax %,25.77%,18.68%,25.66%,28.40%,,
Net Profit,2.16,2.22,2.80,4.21,,
  └─ Profit excl Excep,2.16,2.22,2.80,4.21,,
  └─ Profit for PE,2.16,2.22,2.80,4.21,,
  └─ Profit for EPS,2.16,2.22,2.80,4.21,,
EPS in Rs,5.78,5.73,7.22,7.72,,
Raw PDF,,,,,,
