Metric,Dec 2015,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019
Sales,0.23,1.63,0.20,0.00,0.05,0.07,0.18,0.80,0.09,0.10,0.00,0.29,0.57
  └─ YOY Sales Growth %,,159%,-68%,-100%,,-96%,-10%,,80%,43%,-100%,-64%,533%
Expenses,0.23,0.05,0.14,-0.19,-0.62,0.06,0.16,0.72,0.16,0.06,0.03,0.37,0.22
  └─ Material Cost %,39.13%,0.00%,40.00%,,-1120.00%,-57.14%,50.00%,47.50%,255.56%,0.00%,,86.21%,15.79%
  └─ Employee Cost %,26.09%,1.23%,25.00%,,-80.00%,57.14%,22.22%,5.00%,122.22%,10.00%,,6.90%,7.02%
Operating Profit,0.00,1.58,0.06,0.19,0.67,0.01,0.02,0.08,-0.07,0.04,-0.03,-0.08,0.35
OPM %,0.00%,96.93%,30.00%,,1340.00%,14.29%,11.11%,10.00%,-77.78%,40.00%,,-27.59%,61.40%
Other Income,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.06,0.09,0.00,0.00,0.00,0.05
  └─ Other income normal,0.00,0.00,0.01,0.01,0.02,0.02,0.01,0.06,0.09,0.00,0.00,0.00,0.05
Interest,0.33,0.57,0.00,0.05,-0.05,0.11,0.11,0.12,-0.14,0.13,0.12,0.11,-0.25
Depreciation,0.12,0.17,0.17,0.17,0.18,0.26,0.26,0.26,-0.09,0.17,0.17,0.17,-0.22
Profit before tax,-0.45,0.84,-0.10,-0.02,0.56,-0.34,-0.34,-0.24,0.25,-0.26,-0.32,-0.36,0.87
Tax %,0.00%,0.00%,0.00%,0.00%,-58.93%,0.00%,0.00%,0.00%,-76.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,-0.45,0.84,-0.06,-0.09,0.90,0.10,-0.20,-0.24,0.44,0.10,-0.25,-0.15,0.97
  └─ Profit from Associates,0,0,0,-0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,-0,1,-0,-0,1,0,-0,-0,0,0,-0,-0,1
  └─ Profit for PE,-0,1,-0,-0,1,0,-0,-0,0,0,-0,-0,1
  └─ Profit for EPS,-0,1,-0,-0,1,0,-0,-0,0,0,-0,-0,1
  └─ YOY Profit Growth %,,2700%,-300%,80%,,-88%,-233%,-167%,-51%,0%,-25%,38%,120%
EPS in Rs,-0.45,0.84,-0.06,-0.09,0.90,0.10,-0.20,-0.24,0.44,0.10,-0.25,-0.15,0.97
Raw PDF,,,,,,,,,,,,,
