Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,31.18,23.41,26.63,24.67,62.24,38.92,44.07,46.16,24.68,20.30,38.17,61.37,25.21
  └─ YOY Sales Growth %,59.98%,-39.35%,-24.58%,-31.96%,99.62%,66.25%,65.49%,87.11%,-60.35%,-47.84%,-13.39%,32.95%,2.15%
Expenses,30.55,21.36,23.00,23.00,60.42,36.89,41.79,43.56,22.22,18.68,35.30,57.99,22.27
  └─ Material Cost %,92%,86%,79%,85%,89%,88%,87%,88%,74%,74%,83%,89%,75%
  └─ Employee Cost %,1%,1%,1%,1%,2%,3%,3%,3%,8%,7%,4%,3%,8%
Operating Profit,0.63,2.05,3.63,1.67,1.82,2.03,2.28,2.60,2.46,1.62,2.87,3.38,2.94
OPM %,2.02%,8.76%,13.63%,6.77%,2.92%,5.22%,5.17%,5.63%,9.97%,7.98%,7.52%,5.51%,11.66%
Other Income,0.21,-0.02,0.16,2.12,0.40,3.02,0.34,1.65,-1.13,1.42,-2.21,-1.48,-2.16
  └─ Other income normal,0.21,-0.02,0.16,2.12,0.40,3.02,0.34,1.65,-1.13,1.42,-2.21,-1.48,-2.16
Interest,0.22,0.23,0.27,0.27,0.80,0.61,0.41,0.51,0.56,0.34,0.41,0.57,0.61
Depreciation,0.07,0.06,0.06,0.06,0.16,0.23,0.07,0.16,0.49,0.23,0.24,0.24,0.24
Profit before tax,0.55,1.74,3.46,3.46,1.26,4.21,2.14,3.58,0.28,2.47,0.01,1.09,-0.07
Tax %,27.27%,26.44%,26.01%,26.01%,36.51%,26.84%,25.70%,25.70%,-178.57%,19.43%,2000.00%,6.42%,814.29%
Net Profit,-1.13,2.32,5.16,5.15,2.87,8.29,4.86,4.21,-5.87,5.10,-1.92,-0.32,-5.80
  └─ Profit from Associates,-1.53,1.05,2.61,2.60,2.07,5.21,3.28,1.55,-6.63,3.12,-1.73,-1.33,-5.16
  └─ Minority share,0.00,0.00,0.00,0.00,0.17,-0.03,-0.12,-0.02,0.00,0.00,-0.20,-0.09,0.05
  └─ Profit excl Excep,-1.13,2.32,5.16,5.15,2.87,8.29,4.86,4.21,-5.87,5.10,-1.92,-0.32,-5.80
  └─ Profit for PE,-1.13,2.32,5.16,5.15,3.04,8.26,4.74,4.19,-5.87,5.10,-2.12,-0.41,-5.75
  └─ Profit for EPS,-1.13,2.32,5.16,5.15,3.04,8.26,4.74,4.19,-5.87,5.10,-2.12,-0.41,-5.75
  └─ YOY Profit Growth %,-527.78%,393.62%,-0.77%,105.18%,369.03%,256.03%,-8.14%,-18.64%,-293.09%,-38.26%,-144.73%,-109.79%,2.04%
EPS in Rs,-0.04,0.07,0.16,0.16,0.10,0.26,0.15,0.13,-0.18,0.16,-0.07,-0.01,-0.18
Raw PDF,,,,,,,,,,,,,
