Metric,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022
Sales,18.78,15.15,16.30,15.24,19.43,19.84,18.28,20.25,18.29,17.39,21.41,23.60,29.28
  └─ YOY Sales Growth %,4%,14%,21%,-5%,3%,31%,12%,33%,-6%,-12%,17%,17%,60%
Expenses,17.43,14.82,15.62,14.11,18.70,18.62,18.05,19.33,19.85,17.60,21.33,24.10,28.99
  └─ Material Cost %,65%,57%,55%,56%,68%,66%,66%,65%,69%,59%,62%,63%,61%
  └─ Employee Cost %,7%,9%,10%,11%,7%,7%,8%,10%,8%,11%,8%,16%,7%
Operating Profit,1.35,0.33,0.68,1.13,0.73,1.22,0.23,0.92,-1.56,-0.21,0.08,-0.50,0.29
OPM %,7.19%,2.18%,4.17%,7.41%,3.76%,6.15%,1.26%,4.54%,-8.53%,-1.21%,0.37%,-2.12%,0.99%
Other Income,0.01,0.00,0.00,0.06,0.00,0.03,0.00,0.37,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,0.01,-0.00,-0.00,0.06,-0.00,0.03,-0.00,0.37,-0.00,-0.00,-0.00,-0.00,-0.00
Interest,0.12,0.16,0.16,0.10,0.14,0.21,0.12,0.10,0.27,0.25,0.13,0.07,0.41
Depreciation,0.52,0.52,0.52,0.52,0.42,0.42,0.41,0.55,0.42,0.44,0.48,0.51,0.43
Profit before tax,0.72,-0.35,0.00,0.57,0.17,0.62,-0.30,0.64,-2.25,-0.90,-0.53,-1.08,-0.55
Tax %,26.39%,-20.00%,,29.82%,35.29%,30.65%,-33.33%,31.25%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.53,-0.27,0.00,0.40,0.11,0.43,-0.21,0.44,-2.25,-0.90,-0.53,-1.08,-0.55
  └─ Profit excl Excep,1,-0,-0,0,0,0,-0,0,-2,-1,-1,-1,-1
  └─ Profit for PE,1,-0,-0,0,0,0,-0,0,-2,-1,-1,-1,-1
  └─ Profit for EPS,1,-0,-0,0,0,0,-0,0,-2,-1,-1,-1,-1
  └─ YOY Profit Growth %,-47%,-138%,-100%,167%,-79%,259%,,10%,-2145%,-309%,-152%,-345%,76%
EPS in Rs,1.32,-0.68,0.00,1.00,0.28,1.08,-0.52,1.10,-5.62,-2.25,-1.32,-2.70,-1.38
Raw PDF,,,,,,,,,,,,,
