Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,39,97,24,91,102,86,37,18,20,13,41,32,141
  └─ YOY Sales Growth %,,-2%,-41%,1065%,165%,-11%,56%,-81%,-80%,-85%,10%,79%,594%
Expenses,37,69,32,71,87,84,53,35,42,32,52,58,79
  └─ Material Cost %,37.09%,44.45%,57.90%,46.25%,57.02%,66.72%,75.42%,54.06%,64.11%,38.26%,49.98%,76.29%,32.35%
  └─ Employee Cost %,40.09%,15.90%,35.23%,10.75%,18.60%,13.55%,36.87%,72.69%,66.57%,97.73%,37.00%,50.46%,10.62%
Operating Profit,1,28,-8,20,15,2,-16,-17,-22,-19,-11,-27,62
OPM %,3%,29%,-33%,22%,15%,3%,-43%,-99%,-108%,-149%,-28%,-84%,44%
Other Income,4,4,15,7,5,6,6,5,4,4,3,3,12
  └─ Other income normal,4.21,3.54,14.91,6.61,5.36,6.00,5.84,4.89,4.43,3.94,3.29,2.61,12.45
Interest,3,2,1,0,0,0,1,0,0,0,1,1,2
Depreciation,3,5,5,6,6,7,7,7,8,10,11,11,12
Profit before tax,-0,25,1,20,14,2,-18,-20,-26,-25,-19,-36,61
Tax %,1029%,25%,33%,27%,27%,25%,-24%,18%,0%,-7%,1%,-6%,1%
Net Profit,-5,19,1,15,10,1,-14,-24,-26,-24,-20,-34,60
  └─ Profit excl Excep,-5,19,1,15,10,1,-14,-24,-26,-24,-20,-34,60
  └─ Profit for PE,-5,19,1,15,10,1,-14,-24,-26,-24,-20,-34,60
  └─ Profit for EPS,-5,19,1,15,10,1,-14,-24,-26,-24,-20,-34,60
  └─ YOY Profit Growth %,,-54%,-78%,290%,291%,-94%,-1643%,-262%,-349%,-2114%,-43%,-41%,333%
EPS in Rs,-2.54,4.95,0.21,3.45,2.41,0.27,-3.19,-5.58,-5.97,-5.45,-4.54,-7.83,13.86
Raw PDF,,,,,,,,,,,,,
