Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,1.32,2.34,1.90,1.81,1.11,2.30,2.08,1.79,1.24,3.10,1.26,1.69,1.35
  └─ YOY Sales Growth %,26.92%,77.27%,146.75%,-6.70%,-15.91%,-1.71%,9.47%,-1.10%,11.71%,34.78%,-39.42%,-5.59%,8.87%
Expenses,3.64,48.48,2.57,2.48,2.84,6.93,3.53,2.80,1.60,3.46,3.06,2.28,2.10
  └─ Material Cost %,39%,-7%,26%,19%,38%,0%,22%,13%,-17%,21%,4%,17%,2%
  └─ Employee Cost %,130%,35%,62%,75%,131%,66%,68%,66%,105%,39%,125%,80%,96%
Operating Profit,-2.32,-46.14,-0.67,-0.67,-1.73,-4.63,-1.45,-1.01,-0.36,-0.36,-1.80,-0.59,-0.75
OPM %,-175.76%,-1971.79%,-35.26%,-37.02%,-155.86%,-201.30%,-69.71%,-56.42%,-29.03%,-11.61%,-142.86%,-34.91%,-55.56%
Other Income,0.38,84.44,0.06,-13.51,0.03,4.78,0.03,0.02,0.06,-10.61,0.24,-11.39,0.25
  └─ Exceptional items,0.20,-11.40,0.00,-13.55,0.00,1.70,0.00,-0.01,0.00,-11.39,0.00,-11.40,0.00
  └─ Other income normal,0.18,95.84,0.06,0.04,0.03,3.08,0.03,0.03,0.06,0.78,0.24,0.01,0.25
Interest,0.02,3.20,0.86,0.89,0.84,-2.46,0.01,0.13,0.09,0.22,0.10,0.16,0.16
Depreciation,0.04,0.06,0.06,0.03,0.05,0.02,0.03,0.08,0.08,-0.02,0.04,0.04,0.04
Profit before tax,-2.00,35.04,-1.53,-15.10,-2.59,2.59,-1.46,-1.20,-0.47,-11.17,-1.70,-12.18,-0.70
Tax %,8609.50%,73.86%,-0.00%,0.20%,-0.39%,60.23%,-0.00%,10.00%,4.26%,-0.54%,1.18%,0.16%,1.43%
Net Profit,-174.19,9.16,-1.53,-15.13,-2.58,1.04,-1.46,-1.32,-0.48,-11.10,-1.73,-12.20,-0.72
  └─ Exceptional items AT,-17,-3,0,-14,0,1,0,-0,0,-11,0,-11,0
  └─ Profit excl Excep,-157,12,-2,-2,-3,0,-1,-1,-0,0,-2,-1,-1
  └─ Profit for PE,-157,12,-2,-2,-3,0,-1,-1,-0,0,-2,-1,-1
  └─ Profit for EPS,-174,9,-2,-15,-3,1,-1,-1,-0,-11,-2,-12,-1
  └─ YOY Profit Growth %,-6129%,366%,-102%,90%,98%,-97%,5%,18%,81%,-100%,-18%,38%,-50%
EPS in Rs,-14.79,0.78,-0.13,-1.28,-0.22,0.09,-0.10,-0.09,-0.03,-0.73,-0.11,-0.80,-0.04
Raw PDF,,,,,,,,,,,,,
