Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,0.00,1.23,0.00,0.00,0.00,1.50,0.11,0.50,0.43,0.92,0.62,0.63,0.07
  └─ YOY Sales Growth %,-100%,297%,,,,22%,,,,-39%,464%,26%,-84%
Expenses,0.06,1.29,0.08,0.25,0.23,1.55,0.21,0.59,0.51,0.94,1.31,0.73,0.22
  └─ Material Cost %,,99%,,,,100%,100%,98%,98%,89%,94%,92%,100%
  └─ Employee Cost %,,2%,,,,3%,36%,12%,12%,5%,105%,6%,114%
Operating Profit,-0.06,-0.06,-0.08,-0.25,-0.23,-0.05,-0.10,-0.09,-0.08,-0.02,-0.69,-0.10,-0.15
OPM %,,-4.88%,,,,-3.33%,-90.91%,-18.00%,-18.60%,-2.17%,-111.29%,-15.87%,-214.29%
Other Income,1.42,0.47,0.56,0.90,0.03,0.03,0.01,0.08,0.01,0.06,0.03,0.03,0.03
  └─ Other income normal,1.42,0.47,0.56,0.90,0.03,0.03,0.01,0.08,0.01,0.06,0.03,0.03,0.03
Interest,0.35,0.32,0.32,0.40,0.86,0.75,0.20,0.26,0.38,-0.61,0.42,0.44,0.45
Depreciation,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.10,0.09,0.09,0.09,0.09,0.09
Profit before tax,0.94,0.02,0.09,0.18,-1.13,-0.84,-0.36,-0.37,-0.54,0.56,-1.17,-0.60,-0.66
Tax %,15.96%,-750.00%,0.00%,44.44%,-7.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Net Profit,0.79,0.17,0.09,0.10,-1.05,-0.85,-0.37,-0.37,-0.53,0.56,-1.16,-0.60,-0.66
  └─ Profit excl Excep,0.79,0.17,0.09,0.10,-1.05,-0.85,-0.37,-0.37,-0.53,0.56,-1.16,-0.60,-0.66
  └─ Profit for PE,0.79,0.17,0.09,0.10,-1.05,-0.85,-0.37,-0.37,-0.53,0.56,-1.16,-0.60,-0.66
  └─ Profit for EPS,0.79,0.17,0.09,0.10,-1.05,-0.85,-0.37,-0.37,-0.53,0.56,-1.16,-0.60,-0.66
  └─ YOY Profit Growth %,558.33%,70.00%,400.00%,-44.44%,-232.91%,-600.00%,-511.11%,-470.00%,49.52%,165.88%,-213.51%,-62.16%,-24.53%
EPS in Rs,2.05,0.44,0.23,0.26,-2.73,-2.21,-0.96,-0.96,-1.38,1.45,-3.01,-1.56,-1.71
Raw PDF,,,,,,,,,,,,,
