Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales,0.35,1.05,0.12,0.46,0.58,0.00,0.00,0.00,0.00,2.00,0.80,0.30,0.65
  └─ YOY Sales Growth %,59.09%,320.00%,-65.71%,31.43%,65.71%,-100.00%,-100.00%,-100.00%,-100.00%,,,,
Expenses,0.16,0.79,0.20,0.24,0.70,0.49,0.52,1.09,0.19,0.17,0.47,0.18,0.31
  └─ Employee Cost %,5.71%,9.52%,16.67%,4.35%,3.45%,,,,,0.00%,13.75%,13.33%,6.15%
Operating Profit,0.19,0.26,-0.08,0.22,-0.12,-0.49,-0.52,-1.09,-0.19,1.83,0.33,0.12,0.34
OPM %,54.29%,24.76%,-66.67%,47.83%,-20.69%,,,,,91.50%,41.25%,40.00%,52.31%
Other Income,0.00,0.00,0.09,-0.08,0.23,0.00,0.05,0.01,0.00,2.19,0.80,0.73,0.72
  └─ Other income normal,0.00,0.00,0.09,-0.08,0.23,0.00,0.05,0.01,0.00,2.19,0.80,0.73,0.72
Interest,0.19,0.54,0.13,0.14,0.14,0.14,0.14,0.14,0.15,2.77,0.97,0.89,1.07
Depreciation,0.14,0.43,0.34,-0.14,0.27,0.02,0.09,0.09,0.09,-0.03,0.04,0.04,0.04
Profit before tax,-0.14,-0.71,-0.46,0.14,-0.30,-0.65,-0.70,-1.31,-0.43,1.28,0.12,-0.08,-0.05
Tax %,0.00%,23.94%,0.00%,14.29%,0.00%,-155.38%,0.00%,0.00%,0.00%,50.78%,283.33%,-50.00%,-60.00%
Net Profit,-0.14,-0.89,-0.46,0.12,-0.30,0.35,-0.70,-1.30,-0.43,0.63,-0.22,-0.05,-0.02
  └─ Profit excl Excep,-0,-1,-0,0,-0,0,-1,-1,-0,1,-0,-0,-0
  └─ Profit for PE,-0,-1,-0,0,-0,0,-1,-1,-0,1,-0,-0,-0
  └─ Profit for EPS,-0,-1,-0,0,-0,0,-1,-1,-0,1,-0,-0,-0
  └─ YOY Profit Growth %,30%,-4350%,55%,200%,-114%,139%,-52%,-1183%,-43%,80%,69%,96%,95%
EPS in Rs,-0.00,-0.01,-0.01,0.00,-0.00,0.00,-0.01,-0.01,-0.00,0.00,-0.00,-0.00,-0.00
Raw PDF,,,,,,,,,,,,,
