Metric,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
Revenue,51.74,40.84,29.26,27.17,26.94,30.94,30.84,22.72,26.21,28.36,27.70,24.62,22.21
  └─ YOY Sales Growth %,20.83%,-20.31%,-40.10%,-35.02%,-47.93%,-24.24%,5.40%,-16.38%,-2.71%,-8.34%,-10.18%,8.36%,-15.26%
Interest,15.56,13.56,12.47,8.70,8.51,8.20,7.71,8.06,7.49,7.08,9.19,6.99,5.50
Expenses,15.99,16.67,24.02,16.51,17.30,22.83,53.62,33.54,17.52,20.66,16.10,15.00,14.04
  └─ Employee Cost %,18.92%,24.19%,33.77%,29.85%,36.97%,36.65%,32.20%,36.88%,36.78%,36.85%,35.92%,40.54%,42.23%
Financing Profit,20.19,10.61,-7.23,1.96,1.13,-0.09,-30.49,-18.88,1.20,0.62,2.41,2.63,2.67
Financing Margin %,39.02%,25.98%,-24.71%,7.21%,4.19%,-0.29%,-98.87%,-83.10%,4.58%,2.19%,8.70%,10.68%,12.02%
Other Income,0.37,0.69,2.24,1.07,0.08,0.24,-2.69,0.05,0.06,0.80,0.07,0.12,0.18
  └─ Other income normal,0.37,0.69,2.24,1.07,0.08,0.24,-2.69,0.05,0.06,0.80,0.07,0.12,0.18
Depreciation,0.38,0.18,0.17,0.19,0.12,0.13,0.14,0.13,0.07,0.14,0.15,0.13,0.11
Profit before tax,20.18,11.12,-5.16,2.84,1.09,0.02,-33.32,-18.96,1.19,1.28,2.33,2.62,2.74
Tax %,31.42%,26.08%,22.29%,25.35%,19.27%,2150.00%,-21.34%,-27.22%,26.05%,24.22%,30.04%,25.95%,26.28%
Net Profit,13.84,8.22,-6.31,2.13,0.87,-0.42,-26.21,-13.80,0.87,0.96,1.63,1.95,2.02
  └─ Profit excl Excep,14,8,-6,2,1,-0,-26,-14,1,1,2,2,2
  └─ Profit for PE,14,8,-6,2,1,-0,-26,-14,1,1,2,2,2
  └─ Profit for EPS,14,8,-6,2,1,-0,-26,-14,1,1,2,2,2
  └─ YOY Profit Growth %,-3%,-20%,-150%,119%,-94%,-105%,-315%,-748%,0%,329%,106%,114%,132%
EPS in Rs,3.12,1.85,-1.42,0.48,0.20,-0.09,-5.90,-3.11,0.20,0.22,0.37,0.44,0.45
Gross NPA %,,,7.50%,8.00%,,,,,,,,,
Net NPA %,,,4.20%,3.60%,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
