Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue,7185,7104,7478,7665,7737,7976,8160
  └─ YOY Sales Growth %,,,,,7.69%,12.28%,9.12%
Interest,3693,3836,3960,4066,3976,3928,4017
Expenses,1915,1762,2072,2126,2135,2172,2026
  └─ Employee Cost %,11.07%,9.16%,8.72%,8.28%,9.33%,9.21%,9.04%
Financing Profit,1576,1506,1447,1473,1626,1876,2118
Financing Margin %,22%,21%,19%,19%,21%,24%,26%
Other Income,9,8,31,27,16,-40,3
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,-44.04,0.00
  └─ Other income normal,9.26,7.93,30.71,26.84,15.99,4.06,3.19
Depreciation,92,99,109,118,135,142,143
Profit before tax,1494,1415,1368,1382,1507,1695,1978
Tax %,24%,26%,27%,25%,26%,25%,26%
Net Profit,1133,1050,1000,1041,1119,1265,1466
  └─ Minority share,-57,25,52,-51,-22,-8,36
  └─ Exceptional items AT,0,0,0,0,0,-32,0
  └─ Profit excl Excep,1133,1050,1000,1041,1119,1297,1466
  └─ Profit for PE,1076,1076,1052,990,1097,1289,1502
  └─ Profit for EPS,1076,1076,1052,990,1097,1257,1502
  └─ YOY Profit Growth %,,,,,2%,20%,43%
EPS in Rs,2.87,2.87,2.77,2.48,2.72,2.96,3.54
Gross NPA %,0.80%,,,,,,
Net NPA %,0.40%,,,,,,
Raw PDF,,,,,,,
