Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,2240,2477,2476,2422,2278,2643,2664,2794,2730,3259,3482,3537,3333
  └─ YOY Sales Growth %,3.66%,-3.17%,-0.80%,-1.94%,1.70%,6.70%,7.59%,15.36%,19.84%,23.31%,30.71%,26.59%,22.09%
Expenses,1847,1903,1979,1909,1836,2017,2142,2261,2272,2604,2922,2945,2812
  └─ Material Cost %,53%,50%,50%,49%,48%,48%,49%,50%,51%,53%,57%,56%,55%
  └─ Employee Cost %,8%,7%,8%,8%,8%,8%,8%,7%,8%,7%,6%,7%,7%
Operating Profit,393,574,497,513,442,626,522,533,458,655,560,592,521
OPM %,18%,23%,20%,21%,19%,24%,20%,19%,17%,20%,16%,17%,16%
Other Income,68,46,38,43,15,37,82,42,47,56,49,39,60
  └─ Other income normal,68,46,38,43,15,37,82,42,47,56,49,39,60
Interest,17,17,20,19,17,17,11,13,12,10,12,14,17
Depreciation,43,36,39,42,41,41,41,44,52,45,47,50,60
Profit before tax,401,567,476,495,399,605,552,518,441,656,550,567,504
Tax %,24%,23%,24%,22%,20%,22%,22%,22%,22%,22%,21%,19%,19%
Net Profit,305,436,360,386,320,474,433,406,345,513,432,460,408
  └─ Minority share,-3,-9,-7,-3,-2,-10,-10,-7,-2,-9,-12,-13,-17
  └─ Profit excl Excep,305,436,360,386,320,474,433,406,345,513,432,460,408
  └─ Profit for PE,302,427,353,383,318,464,423,399,343,504,420,447,391
  └─ Profit for EPS,302,427,353,383,318,464,423,399,343,504,420,447,391
  └─ YOY Profit Growth %,20%,15%,17%,17%,5%,9%,20%,4%,8%,9%,-1%,12%,14%
EPS in Rs,2.34,3.30,2.73,2.96,2.46,3.58,3.27,3.08,2.65,3.89,3.24,3.44,3.01
Raw PDF,,,,,,,,,,,,,
