Metric,Mar 2025,Sep 2025,Mar 2026
Sales,33.12,39.08,41.17
Expenses,29.73,35.64,36.98
  └─ Material Cost %,60%,63%,60%
  └─ Employee Cost %,14%,15%,16%
Operating Profit,3.39,3.44,4.19
OPM %,10.24%,8.80%,10.18%
Other Income,0.01,0.00,0.19
  └─ Other income normal,0.01,0.00,0.19
Interest,0.55,0.42,0.49
Depreciation,0.38,0.42,0.53
Profit before tax,2.47,2.60,3.36
Tax %,25.91%,41.92%,25.60%
Net Profit,1.83,1.51,2.50
  └─ Profit excl Excep,1.83,1.51,2.50
  └─ Profit for PE,1.83,1.51,2.50
  └─ Profit for EPS,1.83,1.51,2.50
EPS in Rs,3.54,2.92,3.56
Raw PDF,,,
