Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,3.32,3.86,4.84,6.70,5.13,4.05,6.00
  └─ YOY Sales Growth %,,,,,54.52%,4.92%,23.97%
Expenses,2.59,2.07,2.10,2.84,1.72,1.58,2.92
  └─ Employee Cost %,38.55%,30.83%,28.10%,16.87%,19.49%,22.96%,14.83%
Operating Profit,0.73,1.79,2.74,3.86,3.41,2.47,3.08
OPM %,21.99%,46.37%,56.61%,57.61%,66.47%,60.99%,51.33%
Other Income,0.01,0.28,0.63,0.22,0.44,0.15,0.26
  └─ Other income normal,0.01,0.28,0.63,0.22,0.44,0.15,0.26
Interest,0.15,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.17,0.39,0.73,0.76,1.23,1.39,1.65
Profit before tax,0.42,1.68,2.64,3.32,2.62,1.23,1.69
Tax %,0.00%,4.17%,33.71%,2.11%,3.82%,4.07%,1.78%
Net Profit,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit excl Excep,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit for PE,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ Profit for EPS,0.41,1.61,1.75,3.24,2.51,1.18,1.66
  └─ YOY Profit Growth %,,,,,512.20%,-26.71%,-5.14%
EPS in Rs,0.02,0.08,0.09,0.17,0.13,0.06,0.09
Raw PDF,,,,,,,
