Metric,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020
Sales,80.09,96.90,73.25,81.60,78.32,97.20,70.15,79.09,84.20,68.03,23.85,32.56,47.56
  └─ YOY Sales Growth %,17.28%,8.35%,,,-2.21%,0.31%,-4.23%,-3.08%,7.51%,-30.01%,-66.00%,-58.83%,-43.52%
Expenses,74.92,90.17,69.47,76.91,77.17,92.91,68.67,76.97,81.41,83.38,30.69,40.06,45.22
  └─ Employee Cost %,7.43%,6.17%,7.63%,7.02%,7.21%,4.88%,7.64%,6.65%,6.12%,7.31%,6.96%,6.14%,4.29%
Operating Profit,5.17,6.73,3.78,4.69,1.15,4.29,1.48,2.12,2.79,-15.35,-6.84,-7.50,2.34
OPM %,6.46%,6.95%,5.16%,5.75%,1.47%,4.41%,2.11%,2.68%,3.31%,-22.56%,-28.68%,-23.03%,4.92%
Other Income,0.06,0.10,0.43,-0.43,0.24,0.11,0.32,0.03,0.02,1.45,0.10,0.10,0.05
  └─ Other income normal,0.06,0.10,0.43,-0.43,0.24,0.11,0.32,0.03,0.02,1.45,0.10,0.10,0.05
Interest,0.56,0.55,0.62,0.58,0.68,0.77,1.02,0.84,1.15,0.94,0.32,0.56,0.40
Depreciation,0.15,0.15,0.32,0.28,0.28,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.22
Profit before tax,4.52,6.13,3.27,3.40,0.43,3.37,0.53,1.06,1.42,-15.08,-7.29,-8.18,1.77
Tax %,34.07%,36.05%,30.28%,36.47%,25.58%,53.71%,-13.21%,53.77%,44.37%,1.13%,-0.96%,0.12%,28.25%
Net Profit,2.98,3.92,2.28,2.16,0.32,1.56,0.59,0.50,0.79,-15.25,-7.21,-8.19,1.27
  └─ Profit excl Excep,3,4,2,2,0,2,1,0,1,-15,-7,-8,1
  └─ Profit for PE,3,4,2,2,0,2,1,0,1,-15,-7,-8,1
  └─ Profit for EPS,3,4,2,2,0,2,1,0,1,-15,-7,-8,1
  └─ YOY Profit Growth %,37%,25%,,,-89%,-60%,-74%,-77%,147%,-1078%,-1322%,-1738%,61%
EPS in Rs,0.28,0.37,0.22,0.20,0.03,0.15,0.06,0.05,0.07,-1.44,-0.68,-0.77,0.12
Raw PDF,,,,,,,,,,,,,
