Metric,Mar 2012,Dec 2012,Mar 2013
Sales,37.13,22.18,28.52
  └─ YOY Sales Growth %,,,-23.19%
Expenses,33.95,20.43,27.10
  └─ Material Cost %,83%,88%,91%
  └─ Employee Cost %,0%,1%,1%
Operating Profit,3.18,1.75,1.42
OPM %,8.56%,7.89%,4.98%
Other Income,0.06,0.07,0.09
  └─ Other income normal,0.06,0.07,0.09
Interest,0.02,0.13,0.51
Depreciation,0.00,0.15,0.21
Profit before tax,3.22,1.54,0.79
Tax %,22.36%,12.34%,37.97%
Net Profit,2.50,1.35,0.50
  └─ Profit excl Excep,2,1,0
  └─ Profit for PE,2,1,0
  └─ Profit for EPS,2,1,0
  └─ YOY Profit Growth %,,,-80%
EPS in Rs,2.69,1.45,0.54
Raw PDF,,,
