Metric,Sep 2021,Mar 2022
  └─ Material Cost %,97%,95%
  └─ Employee Cost %,0%,0%
  └─ Other income normal,0.01,0.05
  └─ Profit excl Excep,0.04,0.08
  └─ Profit for PE,0.04,0.08
  └─ Profit for EPS,0.04,0.08
