Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,369,323,332,295,310,260,349,487,511,468,497,548
  └─ YOY Sales Growth %,,,,,-16.12%,-19.71%,5.24%,64.96%,65.02%,80.19%,42.34%,12.52%
Expenses,47,34,54,94,38,39,42,51,53,68,52,69
  └─ Employee Cost %,3.60%,3.62%,5.01%,5.90%,4.85%,6.17%,4.77%,3.55%,3.09%,3.30%,3.19%,2.72%
Operating Profit,322,290,277,201,272,221,307,436,458,400,444,479
OPM %,87%,90%,84%,68%,88%,85%,88%,90%,90%,86%,89%,87%
Other Income,65,73,39,719,30,36,45,38,57,138,120,171
  └─ Exceptional items,7,39,6,696,0,0,-7,-14,-16,4,0,14
  └─ Other income normal,57,34,33,23,30,36,52,52,73,134,120,157
Interest,188,200,202,177,196,178,179,206,233,265,288,337
Depreciation,77,86,85,61,56,60,70,102,108,117,120,123
Profit before tax,122,77,29,681,50,18,103,166,174,156,156,190
Tax %,33%,50%,-55%,22%,97%,16%,-8%,27%,25%,26%,27%,27%
Net Profit,82,39,44,532,1,15,112,122,131,115,114,138
  └─ Minority share,0,0,0,0,0,0,0,1,0,0,0,1
  └─ Exceptional items AT,5,20,2,547,0,0,-6,-10,-12,3,0,5
  └─ Profit excl Excep,77,19,42,-15,1,15,118,132,143,112,114,133
  └─ Profit for PE,77,19,42,-15,1,15,118,133,143,112,114,134
  └─ Profit for EPS,82,39,44,532,1,15,112,123,131,115,114,139
  └─ YOY Profit Growth %,,,,,-98%,-19%,181%,991%,10171%,632%,-4%,1%
EPS in Rs,7.88,3.70,4.26,50.97,0.03,0.29,1.85,2.04,2.16,1.90,1.88,2.30
Raw PDF,,,,,,,,,,,,
