Metric,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,13.95,16.61,21.58,17.85,4.78
Expenses,11.62,13.88,17.73,14.43,11.95
  └─ Material Cost %,55%,60%,53%,53%,131%
  └─ Employee Cost %,12%,11%,9%,11%,38%
Operating Profit,2.33,2.73,3.85,3.42,-7.17
OPM %,16.70%,16.44%,17.84%,19.16%,-150.00%
Other Income,0.01,0.04,0.05,0.06,0.02
  └─ Other income normal,0.01,0.04,0.05,0.06,0.02
Interest,0.36,0.22,0.29,0.33,0.38
Depreciation,0.36,0.36,0.37,0.41,0.48
Profit before tax,1.62,2.19,3.24,2.74,-8.01
Tax %,22.84%,30.59%,21.60%,25.55%,-24.47%
Net Profit,1.26,1.51,2.54,2.04,-6.06
  └─ Profit excl Excep,1.26,1.51,2.54,2.04,-6.06
  └─ Profit for PE,1.26,1.51,2.54,2.04,-6.06
  └─ Profit for EPS,1.26,1.51,2.54,2.04,-6.06
EPS in Rs,1.47,1.29,2.17,1.74,-4.98
Raw PDF,,,,,
