Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,130,226,92,117,374,696,758,1157
  └─ YOY Sales Growth %,,,,,189%,208%,721%,888%
Expenses,112,211,78,103,351,605,666,922
  └─ Material Cost %,59%,-89%,-35%,-10%,2%,-125%,-81%,-108%
  └─ Employee Cost %,1%,1%,2%,1%,8%,5%,5%,3%
Operating Profit,18,15,14,14,24,91,91,234
OPM %,14%,7%,15%,12%,6%,13%,12%,20%
Other Income,0,1,1,0,18,10,8,19
  └─ Other income normal,0.10,0.54,1.00,0.48,17.51,9.79,8.42,19.06
Interest,10,11,12,13,15,26,17,40
Depreciation,0,0,0,0,5,5,5,7
Profit before tax,7,4,2,2,21,70,77,206
Tax %,-6%,-13%,-25%,-42%,23%,14%,13%,22%
Net Profit,7,5,3,2,16,60,67,161
  └─ Profit excl Excep,7,5,3,2,16,60,67,161
  └─ Profit for PE,7,5,3,2,16,60,67,161
  └─ Profit for EPS,7,5,3,2,16,60,67,161
  └─ YOY Profit Growth %,,,,,122%,1123%,2119%,6613%
EPS in Rs,,,,,2.48,9.04,10.03,24.20
Raw PDF,,,,,,,,
