Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,748,693,813,732,832,810,828,821,908,878,880,948,1050
  └─ YOY Sales Growth %,9.84%,-2.16%,17.02%,11.90%,11.15%,16.82%,1.84%,12.08%,9.25%,8.45%,6.22%,15.43%,15.55%
Expenses,697,646,743,673,755,733,752,745,816,796,811,866,958
  └─ Material Cost %,77%,75%,74%,73%,73%,72%,72%,72%,73%,72%,73%,73%,74%
  └─ Employee Cost %,8%,10%,9%,10%,9%,10%,10%,10%,9%,10%,10%,9%,9%
Operating Profit,51,47,70,60,77,77,76,76,93,82,68,81,92
OPM %,7%,7%,9%,8%,9%,10%,9%,9%,10%,9%,8%,9%,9%
Other Income,6,2,3,7,4,3,6,5,6,6,20,-2,8
  └─ Exceptional items,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.08,0.00
  └─ Other income normal,5.69,1.62,2.87,6.66,3.72,3.26,6.32,4.87,6.46,5.86,19.66,5.66,7.70
Interest,2,2,3,4,4,3,2,3,3,2,2,3,2
Depreciation,28,27,29,28,32,31,32,32,34,31,31,32,31
Profit before tax,26,20,42,34,45,47,49,46,62,55,55,45,66
Tax %,31%,32%,36%,21%,32%,26%,25%,28%,25%,25%,25%,22%,26%
Net Profit,18,14,27,27,30,35,36,33,46,41,41,35,49
  └─ Exceptional items AT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.55,0.00
  └─ Profit excl Excep,18.28,13.56,26.76,26.86,30.43,34.99,36.42,32.92,46.20,40.83,40.74,40.30,49.33
  └─ Profit for PE,18.28,13.56,26.76,26.86,30.43,34.99,36.42,32.92,46.20,40.83,40.74,40.30,49.33
  └─ Profit for EPS,18.28,13.56,26.76,26.86,30.43,34.99,36.42,32.92,46.20,40.83,40.74,34.75,49.33
  └─ YOY Profit Growth %,9.79%,16.39%,175.03%,225.18%,66.47%,158.04%,36.10%,22.56%,51.82%,16.69%,11.86%,22.42%,6.77%
EPS in Rs,2.80,2.08,4.10,4.12,4.66,5.36,5.58,5.05,7.08,6.26,6.25,5.33,7.56
Raw PDF,,,,,,,,,,,,,
