Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,255.28,311.33,174.51,209.93,367.38,347.26,189.54,233.78
  └─ YOY Sales Growth %,,,,,43.91%,11.54%,8.61%,11.36%
Expenses,228.33,276.85,165.01,206.09,316.65,315.47,182.22,223.16
  └─ Material Cost %,77%,77%,76%,83%,76%,78%,77%,79%
  └─ Employee Cost %,4%,4%,7%,5%,4%,4%,8%,6%
Operating Profit,26.95,34.48,9.50,3.84,50.73,31.79,7.32,10.62
OPM %,10.56%,11.08%,5.44%,1.83%,13.81%,9.15%,3.86%,4.54%
Other Income,0.38,0.30,-0.04,1.51,0.77,0.04,3.17,4.37
  └─ Other income normal,0.38,0.30,-0.04,1.51,0.77,0.04,3.17,4.37
Interest,2.68,2.99,3.26,3.97,3.12,4.50,4.64,4.95
Depreciation,4.44,4.59,4.66,4.58,4.66,4.79,4.88,4.81
Profit before tax,20.21,27.20,1.54,-3.20,43.72,22.54,0.97,5.23
Tax %,25.43%,22.68%,23.38%,-23.12%,25.48%,23.11%,22.68%,24.28%
Net Profit,15.07,21.03,1.18,-2.45,32.59,17.33,0.76,3.97
  └─ Profit excl Excep,15,21,1,-2,33,17,1,4
  └─ Profit for PE,15,21,1,-2,33,17,1,4
  └─ Profit for EPS,15,21,1,-2,33,17,1,4
  └─ YOY Profit Growth %,,,,,116%,-18%,-36%,262%
EPS in Rs,4.46,6.22,0.35,-0.72,9.64,5.13,0.22,1.17
Raw PDF,,,,,,,,
