Metric,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.35,4.50,7.74,16.63,13.18
  └─ YOY Sales Growth %,,,,,,,,,,,,40.96%
Expenses,0.34,1.08,-0.05,1.10,1.48,0.94,2.52,10.06,4.47,7.71,14.23,14.35
  └─ Material Cost %,,,,,,,,76%,64%,73%,70%,86%
  └─ Employee Cost %,,,,,,,,8%,17%,9%,5%,6%
Operating Profit,-0.34,-1.08,0.05,-1.10,-1.48,-0.94,-2.52,-0.71,0.03,0.03,2.40,-1.17
OPM %,,,,,,,,-7.59%,0.67%,0.39%,14.43%,-8.88%
Other Income,1.38,1.26,1.38,1.09,0.77,0.82,1.27,0.85,0.52,0.41,0.51,0.94
  └─ Other income normal,1.38,1.26,1.38,1.09,0.77,0.82,1.27,0.85,0.52,0.41,0.51,0.94
Interest,0.00,0.00,0.00,0.04,0.04,0.05,0.05,0.06,0.23,0.21,0.40,0.41
Depreciation,0.00,0.00,0.00,0.07,0.10,0.12,0.12,0.13,0.72,0.72,-0.08,0.47
Profit before tax,1.04,0.18,1.43,-0.12,-0.85,-0.29,-1.42,-0.05,-0.40,-0.49,2.59,-1.11
Tax %,25.00%,322.22%,20.28%,-16.67%,9.41%,6.90%,-16.90%,-40.00%,-45.00%,30.61%,15.06%,80.18%
Net Profit,0.79,-0.39,1.13,-0.11,-0.93,-0.31,-1.18,-0.03,-0.21,-0.65,2.20,-2.00
  └─ Minority share,0,0,0,0,-0,-0,-0,0,0,0,0,-0
  └─ Profit excl Excep,1,-0,1,-0,-1,-0,-1,-0,-0,-1,2,-2
  └─ Profit for PE,1,-0,1,-0,-1,-0,-1,0,-0,-1,2,-2
  └─ Profit for EPS,1,-0,1,-0,-1,-0,-1,0,-0,-1,2,-2
  └─ YOY Profit Growth %,,,,,-227%,-5%,-205%,191%,98%,-49%,285%,-2250%
EPS in Rs,0.11,-0.05,0.16,-0.02,-0.14,-0.06,-0.16,0.01,-0.00,-0.08,0.30,-0.30
Raw PDF,,,,,,,,,,,,
