Metric,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,11.43,9.61,16.74,10.88
Expenses,7.02,8.33,12.86,11.15
  └─ Material Cost %,14%,23%,34%,55%
  └─ Employee Cost %,29%,39%,26%,33%
Operating Profit,4.41,1.28,3.88,-0.27
OPM %,38.58%,13.32%,23.18%,-2.48%
Other Income,0.02,0.17,0.05,0.47
  └─ Other income normal,0.02,0.17,0.05,0.47
Interest,0.12,0.08,0.42,0.98
Depreciation,0.05,0.12,0.23,0.24
Profit before tax,4.26,1.25,3.28,-1.02
Tax %,22.77%,24.00%,25.61%,-25.49%
Net Profit,3.29,0.95,2.43,-0.80
  └─ Profit from Associates,0.00,0.00,-0.02,-0.05
  └─ Profit excl Excep,3.29,0.95,2.43,-0.80
  └─ Profit for PE,3.29,0.95,2.43,-0.80
  └─ Profit for EPS,3.29,0.95,2.43,-0.80
EPS in Rs,7.60,2.13,5.46,-1.80
Raw PDF,,,,
