Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,5476,5693,6988,5464,3913,4729,7433,6935,4988,7042,9654,8779,6004
  └─ YOY Sales Growth %,29.55%,-0.62%,-30.90%,-34.24%,-28.55%,-16.94%,6.36%,26.92%,27.49%,48.92%,29.88%,26.59%,20.35%
Expenses,5089,4988,5933,5115,3650,4238,6471,6222,4579,6260,8508,7980,5516
  └─ Material Cost %,77%,74%,73%,79%,72%,74%,75%,76%,70%,74%,76%,77%,72%
  └─ Employee Cost %,3%,3%,3%,3%,4%,4%,3%,3%,4%,3%,3%,3%,5%
Operating Profit,387,706,1055,349,263,490,962,713,409,782,1147,800,488
OPM %,7%,12%,15%,6%,7%,10%,13%,10%,8%,11%,12%,9%,8%
Other Income,47,44,45,59,84,54,65,114,473,84,116,83,-6
  └─ Exceptional items,0,0,0,0,0,0,0,0,347,0,0,0,-71
  └─ Other income normal,47,44,45,59,84,54,65,114,126,84,116,83,64
Interest,52,41,46,38,62,57,66,73,66,68,102,84,89
Depreciation,45,48,54,64,63,65,69,71,85,121,102,147,165
Profit before tax,337,661,1000,306,222,422,892,683,731,677,1059,653,228
Tax %,27%,25%,25%,25%,26%,27%,26%,26%,21%,26%,25%,25%,50%
Net Profit,246,494,755,228,164,309,659,508,578,502,793,488,115
  └─ Minority share,0,0,2,3,-4,2,5,4,1,3,12,17,25
  └─ Exceptional items AT,0,0,0,0,0,0,0,0,274,0,0,0,-36
  └─ Profit excl Excep,246,494,755,228,164,309,659,508,304,502,793,488,150
  └─ Profit for PE,246,494,757,231,160,311,664,512,305,505,805,506,175
  └─ Profit for EPS,246,494,757,231,160,311,664,512,580,505,805,506,140
  └─ YOY Profit Growth %,-15%,-1%,2%,-56%,-35%,-37%,-12%,122%,90%,62%,21%,-1%,-43%
EPS in Rs,8.38,16.80,25.71,7.85,5.45,10.56,22.55,17.37,19.67,17.13,27.31,17.15,4.74
Raw PDF,,,,,,,,,,,,,
