Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,44253,43075,44983,42820,47628,48529,44706,45069,49834,47065,44786,45846,49688
  └─ YOY Sales Growth %,19.33%,-0.24%,1.83%,-3.99%,7.63%,12.66%,-0.62%,5.25%,4.63%,-3.02%,0.18%,1.72%,-0.29%
Expenses,32311,30664,32303,31458,33638,35091,33041,31729,35080,34485,31970,31276,41181
  └─ Employee Cost %,4.07%,3.69%,3.40%,3.78%,3.90%,3.36%,3.44%,3.60%,4.02%,3.37%,3.53%,3.83%,4.16%
Operating Profit,11942,12411,12680,11362,13990,13438,11665,13341,14754,12580,12816,14570,8507
OPM %,27%,29%,28%,27%,29%,28%,26%,30%,30%,27%,29%,32%,17%
Other Income,1084,994,1024,2532,1400,1187,3218,986,4180,3240,2734,1738,1917
  └─ Other income normal,1084,994,1024,2532,1400,1187,3218,986,4180,3240,2734,1738,1917
Interest,2860,2922,2921,3250,2955,3136,3621,2764,3648,3468,3432,3164,3737
Depreciation,3848,3821,4038,4074,4271,4204,4216,4318,4663,4587,4816,5093,5134
Profit before tax,6318,6661,6746,6571,8164,7284,7046,7245,10623,7765,7301,8050,1553
Tax %,23%,26%,30%,21%,20%,24%,24%,29%,26%,21%,28%,30%,-584%
Net Profit,4872,4907,4726,5209,6490,5506,5380,5170,7897,6108,5225,5597,10615
  └─ Minority share,-11,-34,-112,-54,-321,-32,-106,-107,-286,-98,-159,-108,-128
  └─ Profit excl Excep,4872,4907,4726,5209,6490,5506,5380,5170,7897,6108,5225,5597,10615
  └─ Profit for PE,4861,4873,4615,5155,6169,5474,5275,5063,7611,6011,5067,5489,10486
  └─ Profit for EPS,4861,4873,4615,5155,6169,5474,5275,5063,7611,6011,5067,5489,10486
  └─ YOY Profit Growth %,-6%,24%,38%,8%,27%,12%,14%,-2%,23%,10%,-4%,8%,38%
EPS in Rs,5.01,5.03,4.76,5.32,6.36,5.65,5.44,5.22,7.85,6.20,5.23,5.66,10.81
Raw PDF,,,,,,,,,,,,,
