Metric,Dec 2022,Mar 2023,Jun 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,0.96,7.07,5.31,43.75,53.86,39.61,93.68,65.70,59.87,21.98,79.56,42.16,34.82
  └─ YOY Sales Growth %,,,,4457.29%,661.81%,645.95%,,50.17%,11.16%,-44.51%,-15.07%,-35.83%,-41.84%
Expenses,1.31,2.08,3.75,20.70,37.87,30.20,77.01,78.15,72.14,20.26,47.81,42.50,25.11
  └─ Material Cost %,0.00%,0.00%,0.00%,42.56%,49.98%,53.19%,73.64%,107.28%,108.49%,63.56%,46.59%,59.13%,39.35%
  └─ Employee Cost %,32.29%,7.07%,8.47%,3.59%,3.21%,5.98%,3.31%,4.69%,4.66%,12.37%,3.17%,6.29%,7.90%
Operating Profit,-0.35,4.99,1.56,23.05,15.99,9.41,16.67,-12.45,-12.27,1.72,31.75,-0.34,9.71
OPM %,-36.46%,70.58%,29.38%,52.69%,29.69%,23.76%,17.79%,-18.95%,-20.49%,7.83%,39.91%,-0.81%,27.89%
Other Income,1.12,16.72,0.98,1.85,0.91,0.33,2.58,14.50,-10.55,0.68,-12.20,12.64,-0.57
  └─ Exceptional items,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other income normal,1.12,16.79,0.98,1.85,0.91,0.33,2.58,14.50,-10.55,0.68,-12.20,12.64,-0.57
Interest,0.09,0.13,0.01,0.00,0.01,0.01,-0.11,0.46,0.19,0.24,0.23,0.41,1.07
Depreciation,0.00,0.41,0.09,0.26,0.51,0.41,0.76,0.79,0.68,0.66,0.63,0.60,0.16
Profit before tax,0.68,21.17,2.44,24.64,16.38,9.32,18.60,0.80,-23.69,1.50,18.69,11.29,7.91
Tax %,-11.76%,6.00%,15.57%,24.03%,28.33%,25.21%,21.77%,-60.00%,-11.36%,36.67%,32.96%,40.21%,6.57%
Net Profit,0.76,19.90,2.06,18.72,11.75,6.97,14.56,1.28,-21.00,0.96,12.92,6.86,7.19
  └─ Profit from Associates,0,0,0,0,0,0,0,0,0,0,0,0,-0
  └─ Minority share,0,2,0,0,-3,-2,-5,2,4,-0,-1,-5,-2
  └─ Exceptional items AT,0,-0,0,0,0,0,0,0,0,0,0,0,0
  └─ Profit excl Excep,1,20,2,19,12,7,15,1,-21,1,13,7,7
  └─ Profit for PE,1,21,2,19,9,5,10,3,-17,1,11,2,5
  └─ Profit for EPS,1,21,2,19,9,5,10,3,-17,1,11,2,5
  └─ YOY Profit Growth %,,,,2363%,-58%,144%,,-82%,-290%,-85%,15%,-53%,128%
EPS in Rs,0.35,9.83,0.94,8.55,4.10,2.29,4.39,1.53,-7.57,0.34,5.06,0.71,2.07
Raw PDF,,,,,,,,,,,,,
