Metric,Sep 2023,Mar 2024,Sep 2024,Mar 2025,Sep 2025,Mar 2026
Sales,25.14,15.23,22.19,22.44,28.06,32.77
Expenses,23.29,14.57,20.90,16.84,24.67,23.70
  └─ Material Cost %,65.08%,58.31%,72.42%,52.90%,64.79%,47.45%
  └─ Employee Cost %,21.32%,23.31%,12.12%,10.43%,14.86%,16.26%
Operating Profit,1.85,0.66,1.29,5.60,3.39,9.07
OPM %,7.36%,4.33%,5.81%,24.96%,12.08%,27.68%
Other Income,0.04,0.92,0.11,0.33,0.56,0.38
  └─ Other income normal,0.04,0.92,0.11,0.33,0.56,0.38
Interest,0.18,0.17,0.06,0.22,0.16,0.43
Depreciation,0.15,0.20,0.80,0.37,0.72,0.85
Profit before tax,1.56,1.21,0.54,5.34,3.07,8.17
Tax %,40.38%,28.10%,25.93%,31.84%,34.85%,25.83%
Net Profit,0.93,0.87,0.40,3.65,2.01,6.07
  └─ Minority share,0.00,0.00,0.00,0.00,0.00,0.16
  └─ Profit excl Excep,0.93,0.87,0.40,3.65,2.01,6.07
  └─ Profit for PE,0.93,0.87,0.40,3.65,2.01,6.23
  └─ Profit for EPS,0.93,0.87,0.40,3.65,2.01,6.23
EPS in Rs,930.00,1.74,0.59,5.37,2.96,5.49
Raw PDF,,,,,,
