Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales,12.13,13.51,11.21,14.52,11.42,14.63,10.66
  └─ YOY Sales Growth %,,,,,-5.85%,8.29%,-4.91%
Expenses,6.98,6.81,7.40,5.45,6.16,9.00,4.75
  └─ Material Cost %,11.79%,3.77%,5.17%,5.72%,4.29%,2.05%,8.63%
  └─ Employee Cost %,13.03%,13.62%,16.50%,13.57%,17.16%,11.96%,14.35%
Operating Profit,5.15,6.70,3.81,9.07,5.26,5.63,5.91
OPM %,42.46%,49.59%,33.99%,62.47%,46.06%,38.48%,55.44%
Other Income,0.59,0.65,0.85,0.76,1.65,1.73,1.66
  └─ Other income normal,0.59,0.65,0.85,0.76,1.65,1.73,1.66
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Depreciation,0.24,0.24,0.22,0.16,0.15,0.15,0.14
Profit before tax,5.50,7.11,4.44,9.67,6.76,7.21,7.39
Tax %,24.00%,19.13%,12.84%,25.65%,25.00%,29.13%,24.36%
Net Profit,4.19,5.76,3.86,7.18,5.07,5.11,5.59
  └─ Minority share,-0.02,-0.01,0.00,0.00,-0.01,0.01,0.00
  └─ Profit excl Excep,4.19,5.76,3.86,7.18,5.07,5.11,5.59
  └─ Profit for PE,4.17,5.75,3.86,7.18,5.06,5.12,5.59
  └─ Profit for EPS,4.17,5.75,3.86,7.18,5.06,5.12,5.59
  └─ YOY Profit Growth %,,,,,21.34%,-10.96%,44.82%
EPS in Rs,68.04,93.82,62.98,3.95,2.78,2.81,3.07
Raw PDF,,,,,,,
